Dr. Carlene Adams, Weedle, badger
Eusebio Johns, Sandshrew, gerbil
Graham Block, Tentacruel, eagle
Sherrill Bosco, Geodude, elk
Young Wehner, Mewtwo, turtle 
Mr. Ashley White, Lapras, macaw
Ricardo Streich, Kangaskhan, camel
Chad Murray Jr., Kabutops, bear
Zetta Russel, Dragonite, macaw
Chas Swift, Scyther, monkey
Odette Streich, Victreebel, hippopotamus
Garret Abbott, Lapras, weasel
Tim Wilderman, Vileplume, buffalo
Mr. Ali Wyman, Oddish, kangaroo
Whitley Willms, Ponyta, buffalo
Freddie Watsica, Weedle, dolphin
Colene Hauck, Gyarados, otter
Tressie Klocko, Rattata, deer
Mr. Soledad Green, Pidgeotto, swan
Carlie Sawayn, Rapidash, zebra
Fonda Bayer, Tauros, oyster
Noelle Gottlieb, Sandshrew, monkey
Daria McKenzie Jr., Metapod, prairie dog
Selina Nikolaus, Dodrio, eagle
Freddie Johnson, Shellder, hornet
Tiny Donnelly, Venonat, llama
Marth Rohan, Dratini, locust
Lucius Wolf, Vulpix, herring
Mark Gusikowski IV, Goldeen, fly
Alec Hirthe, Primeape, ant
Trevor Bruen, Gyarados, pug
Ms. Raylene Sauer, Seadra, walrus
Maryland MacGyver, Magikarp, beaver
Aleida Okuneva, Kakuna, cod
Willy Cummings, Slowpoke, spider
Rheba Legros, Sandslash, termite
Byron Cronin, Farfetch'd, fly
Estelle Stehr, Pikachu, snake
Mr. Jesus Lesch, Raichu, rabbit
Dexter Adams, Butterfree, manatee
Merlin Boyle, Caterpie, beaver
Gene Kautzer, Aerodactyl, beetle
Terry Hand, Venusaur, hound
Jane Kuphal, Venusaur, rabbit
Bennett Ruecker, Exeggcute, baboon
Tanna Torphy, Fearow, manatee
Ms. Lajuana Kulas, Meowth, koala
Bennett Ratke, Staryu, platypus
Makeda Leuschke, Magikarp, zebra
Genia Hudson, Gloom, fly
