Mrs. Jerrod D'Amore, Geodude, swan
Miss Malik Hickle, Poliwag, raven
Evonne Christiansen V, Alakazam, elk
Leroy Hamill, Cubone, dinosaur
Lawerence Douglas, Meowth, sardine
Bethann Block, Caterpie, reindeer
Mr. Carri Lind, Starmie, bear
Sunny Batz, Bellsprout, wildebeest
Astrid Volkman, Clefable, hedgehog
Ozie Bruen, Poliwrath, ant
Nicky Jenkins, Doduo, hedgehog
Bella Greenfelder, Diglett, wolf
Bryce Jacobi, Meowth, hornet
Mr. Karey Wilderman, Nidoking, koala
Dr. Ima Armstrong, Pidgeotto, goat
Hollis Sauer, Vaporeon, minnow
Gabriela Hoppe DDS, Vulpix, duck
Kym Dicki, Ekans, caribou
Tory Cruickshank, Nidoran, frog
Sandy Larkin, Mew, alligator
Izetta Wilderman, Dragonite, herring
Nola Bruen, Pikachu, chinchilla
Mark Runte, Bellsprout, elephant
Soledad Torphy, Doduo, mallard
Ms. Herman Bernhard, Articuno, eel
Mr. Robbie Dickens, Arcanine, fish
Byron Blanda, Venomoth, wombat
Layne Reichel, Pikachu, zebra
Mrs. Buster Kling, Cloyster, seal
Curt Predovic, Hitmonlee, prairie dog
Lovella Marks, Lapras, porpoise
Delmer O'Kon, Spearow, porpoise
Ronald Heathcote, Omanyte, ferret
Morton Kovacek, Articuno, louse
Zackary Cole, Ekans, duck
Mr. Rosario Spinka, Bellsprout, butterfly
Casimira Bauch, Wartortle, yak
Reanna Schamberger DVM, Poliwag, swan
Carmen Donnelly PhD, Hitmonlee, fly
Jeremy Nikolaus, Tentacruel, dog
Jon Considine, Fearow, antelope
Leslie Aufderhar DVM, Staryu, gerbil
Denise Feest, Caterpie, moose
Mae Reichel, Mew, antelope
Katherina Spinka, Growlithe, armadillo
Ron Jakubowski, Tangela, sheep
Greg Wunsch, Eevee, armadillo
Cathryn Hegmann, Rapidash, termite
Lee Feeney, Poliwag, rhinoceros
Valentine Rau, Muk, alpaca
