Marie Johnston, Jynx, walrus
Gertrud Ruecker, Gyarados, crocodile
Cedric Bosco, Vaporeon, chinchilla
Christie Goodwin, Staryu, squirrel
Miss Hans Marvin, Dratini, yellowjacket
Lenny Feest, Sandslash, antelope
Ms. Efren Rogahn, Magikarp, manatee
Zenaida Berge, Goldeen, toad
Mrs. Daine Green, Jigglypuff, baboon
Trula Mitchell, Kingler, alligator
Dr. Nicky Gerlach, Gloom, frog
Franchesca Farrell, Vulpix, reindeer
Harris Kohler Sr., Seaking, cod
Darryl Hudson, Dratini, porpoise
Marquetta Bradtke, Rattata, hippopotamus
Horace Dooley, Beedrill, crocodile
Awilda Ferry, Koffing, snail
Orpha Morar, Ponyta, donkey
Clifton Fritsch I, Shellder, hyena
Leslee Becker, Omastar, armadillo
Tenisha Bashirian, Exeggcute, cat
Terina Rau, Gyarados, seal
Linnie Schamberger DVM, Persian, grasshopper
Willard Konopelski, Electrode, cattle
Lashandra Sawayn, Hitmonlee, bear
Delaine Mueller, Clefable, zebra
Karima Greenfelder PhD, Rattata, wombat
Hal Considine MD, Fearow, termite
Harland McKenzie, Sandslash, hare
Ms. Cyril Gislason, Kingler, spider
Stacey Heaney, Muk, guinea pig
Felisha Runolfsdottir, Venomoth, beaver
Nathanial Ondricka, Seel, seal
Miss Tyron Kuphal, Ninetales, louse
Nell Homenick, Clefairy, seal
Stacey Jakubowski, Alakazam, impala
Mauricio Beier III, Poliwrath, alligator
Becky Deckow Sr., Aerodactyl, toad
Miss Lynn Rau, Venomoth, tiger
Shalon Hettinger, Primeape, pig
Felicidad Spencer, Gloom, shark
Wan Gerhold, Magnemite, clam
Latina Hackett, Doduo, otter
Christina Homenick, Golbat, mole
Brandon Rogahn, Nidoran, crow
Cathleen Crona, Kangaskhan, gnu
Tomas Mayert, Snorlax, mosquito
Miss Alberta Mills, Staryu, hyena
Craig Wehner, Slowbro, cod
Corrine Hilll, Primeape, trout
