Berniece Swaniawski, Squirtle, caribou
Valentina Wilderman, Dugtrio, porcupine
Liliana Hyatt, Cubone, impala
Donny Leffler, Jolteon, water buffalo
Son Willms, Dratini, goat
Darcey Little, Tauros, horse
Yoshie Cole, Gyarados, cricket
Eugena Bahringer, Beedrill, reindeer
Shiloh Trantow, Raticate, gerbil
Oneida Wisozk, Jynx, fish
Britany O'Reilly, Magmar, gerbil
Debbra Hane I, Sandshrew, goldfish
Kerrie Weber I, Onix, wildebeest
Lloyd Hintz, Seadra, pig
Mrs. Otis Kilback, Paras, prairie dog
Thu Kemmer, Gloom, worm
Julienne Medhurst, Bulbasaur, prairie dog
Maxwell Wilkinson, Seel, rabbit
Gilberto Roberts, Magmar, goose
Marcos Jacobi DDS, Goldeen, cheetah
Rivka Welch, Gyarados, cattle
Joan Emmerich, Tentacruel, tortoise
Dion Kulas, Diglett, snake
Gabriela Gleichner, Horsea, cricket
Dr. Sergio Hettinger, Caterpie, panda
Kimber Lind DDS, Haunter, yellowjacket
Desire Kunze V, Venusaur, bee
Jamey Dickens, Drowzee, fly
Lashonda Lesch, Nidorino, cockroach
Nicky Carroll, Kadabra, termite
Miss Cindi Rosenbaum, Gengar, buffalo
Sylvester Mertz V, Lapras, jackal
Shauna Hane, Gastly, toad
Juli Langosh, Charmander, hamster
Lon Bartoletti, Rattata, yellowjacket
Sol Farrell, Marowak, lion
Virgil Watsica V, Graveler, porpoise
Anton Tillman MD, Nidorino, clam
Alberto Schulist II, Parasect, badger
Ms. Chuck Haag, Growlithe, reindeer
Jay Tremblay, Dewgong, hamster
Hubert Haley, Abra, alligator
Shena Dach, Seadra, hedgehog
Mr. Andria Ruecker, Paras, gerbil
Abdul Johns, Lapras, gnat
Mrs. Sal Bernhard, Squirtle, wallaby
Timika Jacobs, Machamp, woodchuck
Wilton Langosh, Squirtle, hare
Laurel Goyette IV, Beedrill, spider
Mardell Ratke, Kabutops, cicada
