Carson Fahey, Horsea, monkey
Bobbi DuBuque, Exeggcute, alligator
Autumn Barrows, Sandslash, beetle
Cathey Keeling, Magikarp, antelope
Rickey O'Connell, Machamp, rat
Domingo Weber, Voltorb, pug
Miss Valery Fritsch, Seadra, mink
Foster Cartwright, Pidgeot, gnat
Miss Leonila Doyle, Victreebel, horse
Tanna Moen V, Farfetch'd, zebra
Shannan Goodwin, Venusaur, skunk
Gayle Berge, Poliwhirl, hyena
Mr. Edna Kuhic, Abra, mosquito
Silva Windler, Onix, crocodile
Dr. Hyman Lockman, Aerodactyl, crow
Jana Stanton, Jigglypuff, gerbil
Barney Schinner Jr., Raticate, jackal
Arnold Schumm V, Electabuzz, wallaby
Candance Ritchie, Golbat, deer
Long Hettinger, Omanyte, sheep
Cruz Mayert, Pidgeot, sea lion
Kelli Pollich, Gastly, hornet
Aleida Grimes, Poliwhirl, fish
Phil Schumm, Arbok, dog
Freeman O'Keefe, Snorlax, dolphin
Ms. Mikaela Windler, Pidgeotto, shark
Miss Sonny Shanahan, Lickitung, hippopotamus
Branden Sporer, Spearow, dolphin
Dr. Marlon Gislason, Diglett, buffalo
Dr. Lolita Stokes, Charmeleon, ferret
Adolph Hartmann, Arcanine, wallaby
Randy Daniel, Blastoise, koala
Delora Kuphal, Venomoth, prairie dog
Rolland Auer, Psyduck, scorpion
Ms. Elodia Herman, Koffing, fly
Christiane Frami III, Magmar, ant
Luciano Moen, Ninetales, locust
Genevie Bogan, Kadabra, buffalo
Kayleigh Mayert, Jynx, beaver
Yvonne Gleason II, Weezing, water buffalo
Joesph Kiehn, Jigglypuff, lizard
Garry Medhurst DDS, Arbok, panda
Cristie Walker I, Omanyte, wildebeest
Mrs. Eliseo Herman, Dugtrio, dog
Jerrod Witting, Dodrio, snail
Jennine Carroll PhD, Seadra, frog
Alfredia Goyette, Drowzee, wallaby
Taisha Kassulke, Dodrio, worm
Samella Auer, Jolteon, giraffe
Fredericka Rempel, Slowbro, moose
