Norris Nader, Pidgey, louse
Scott Bashirian, Chansey, cattle
Barrie Murazik DDS, Metapod, mosquito
Dr. Miriam Kilback, Dragonair, gnu
Bennett Funk, Wartortle, zebra
Delsie Wolff, Nidorina, sardine
Mariana Effertz, Sandslash, crab
Miss Carry Lueilwitz, Wartortle, skunk
Pasquale Johnson, Geodude, squirrel
Keith Aufderhar Sr., Haunter, jellyfish
Elvina Wilkinson, Farfetch'd, antelope
Nga Hilll V, Flareon, deer
Jack Ernser, Diglett, cod
Sal Friesen III, Magnemite, grasshopper
Brandon Rempel, Mr. Mime, crab
Giuseppe Mante, Weedle, trout
Jose Prohaska, Bulbasaur, porpoise
Ms. Julian Schulist, Machoke, koala
Miss Sheridan Boyle, Fearow, tortoise
Jules O'Connell, Abra, louse
Dr. Korey Blanda, Arbok, raven
Zoraida Hintz, Beedrill, raven
Edison Batz, Machamp, alpaca
Earl Ledner, Zapdos, platypus
Columbus O'Reilly, Seaking, serval
Cody Feest, Fearow, mosquito
Marietta Nolan, Zubat, chimpanzee
Edna Hackett, Arcanine, swan
Mozell Lakin, Poliwag, cockroach
Patria Lowe, Graveler, koala
Tommie Glover, Metapod, horse
Miss Timothy Miller, Rhydon, elk
Alane White, Rapidash, crow
Horace Wilderman, Poliwag, tiger
Sheridan Hettinger, Nidoqueen, wildebeest
Antonio Gleason, Vaporeon, beetle
Evan Yundt, Raticate, monkey
Ms. Ahmed Von, Metapod, caribou
Renae Spencer, Hypno, reindeer
Otelia Bernier, Venonat, skunk
Stephan Tillman, Omastar, wolf
Michale Reichel, Drowzee, seal
Antonia Turner, Nidorina, wasp
Lorelei Champlin, Krabby, ape
Loida Greenfelder III, Tangela, woodchuck
Ms. Mable Schroeder, Nidoran, monkey
Angel Pagac, Primeape, hare
Abdul Schneider III, Rhyhorn, impala
Gregory Cronin, Magikarp, rabbit
Ms. Hildred Shanahan, Pidgeot, termite
