Isaias Dietrich II, Drowzee, shark
Mercy Streich II, Dratini, lion
Ulysses Lockman, Pikachu, goose
Dominque Leannon II, Voltorb, wasp
Gigi Labadie, Snorlax, chinchilla
Theron Quitzon, Kangaskhan, lion
Jane Kirlin V, Oddish, cattle
Norbert Jacobi, Nidoqueen, kangaroo
Paris Jacobi II, Venusaur, sardine
Gene Stehr, Chansey, bee
Miss Alonzo Nicolas, Staryu, zebra
Jospeh Sauer, Alakazam, salmon
Joycelyn Okuneva, Rapidash, spider
Jenee Hilpert, Ivysaur, hamster
Mr. Eleonore Parisian, Vulpix, donkey
Gail Jacobs, Staryu, jackal
Alfonso Williamson, Ninetales, chimpanzee
Shelby Huel, Dratini, armadillo
Mikel Pouros, Graveler, spider
Mr. Bo Hodkiewicz, Wigglytuff, duck
Lonny Cruickshank, Magnemite, dog
Irving Crona V, Raticate, minnow
Grant Medhurst, Scyther, hippopotamus
Miss Shasta Rippin, Arbok, mule
Dr. Emmanuel Cormier, Nidorino, manatee
Ms. Dick Jaskolski, Shellder, trout
Mrs. Tinisha Mitchell, Venonat, marten
Marcellus Bechtelar Jr., Diglett, giraffe
Dr. Claude Ledner, Tangela, caribou
Dotty Franecki, Haunter, jellyfish
Misha Gaylord, Pikachu, kangaroo
Annmarie Christiansen III, Vaporeon, mouse
Mrs. Carylon Kuhn, Gloom, goose
Weldon Sipes, Omastar, louse
Tess Bosco, Omanyte, wolf
Ms. Floyd Berge, Rapidash, ape
Ms. Azzie Moore, Omanyte, wallaby
Renato Gerlach, Omanyte, elk
Mr. Ulysses Kunze, Hitmonchan, ape
Sergio Dicki IV, Arcanine, koala
Vanessa Torp, Onix, trout
Huey Kutch, Poliwrath, deer
Dr. Emil Walter, Mankey, ape
Thomas Armstrong, Cloyster, skunk
Millicent Thompson, Vaporeon, bee
Claire Mills, Alakazam, sheep
Hayden Cummings, Fearow, bear
Antonia Goodwin, Gyarados, fish
Vannesa Harvey, Poliwhirl, hare
Ken Borer, Goldeen, alpaca
