Brice Luettgen III, Koffing, deer
Sydney Kunde, Pikachu, walrus
Sidney Tillman, Mr. Mime, whale
Hubert Predovic, Squirtle, snail
Martha Schulist, Kakuna, mouse
Ms. Jeffrey Zieme, Kangaskhan, eel
Moses Bergnaum, Scyther, butterfly
Lorena Lesch, Kabuto, deer
Tracie Kuhlman Sr., Oddish, sheep
Phillip Sauer, Primeape, zebra
Arron Quigley, Venonat, zebra
Erich Gislason, Tentacruel, chinchilla
Ms. Ollie Sanford, Mankey, oyster
Troy Wyman II, Nidoking, wasp
Solomon Yost, Wigglytuff, hedgehog
Lourie Padberg IV, Vileplume, cat
Matt Waters, Vileplume, lizard
Dr. Mel Kihn, Ponyta, crocodile
Kemberly Hettinger, Snorlax, walrus
Crista Yundt II, Exeggutor, eel
Madlyn Homenick, Kabuto, bear
Stuart Greenholt, Beedrill, rabbit
Miss Lucio Macejkovic, Poliwag, eagle
Dr. Murray Haley, Exeggcute, dog
Corene Nader, Hitmonchan, bear
Exie O'Hara, Butterfree, pug
Roberto Halvorson, Charizard, butterfly
Keith Barton, Venonat, impala
Noble Lowe DVM, Seadra, swan
Christine Wintheiser, Poliwag, tiger
Dr. Alejandra Weber, Nidoran, goat
Janette Buckridge, Spearow, giraffe
Prince Casper, Beedrill, jackal
Jamel Langworth, Pinsir, mosquito
Dr. Dorsey Stokes, Ekans, gnu
Mrs. Ofelia Treutel, Kadabra, termite
Moira Lowe, Zubat, dog
Nigel Denesik DVM, Zapdos, gerbil
Deshawn Blick, Seadra, cod
Masako Ratke, Starmie, wildebeest
Chanda Ebert II, Nidorina, elephant
Kenya Howe, Magnemite, fish
Shelton Hirthe, Dratini, otter
Marco Lesch, Ponyta, hound
Mrs. Courtney Bogan, Krabby, crocodile
Jackie Hahn, Jynx, sea lion
Marceline Emmerich, Mankey, platypus
Mr. Tammera Watsica, Tentacruel, bear
Hosea Bechtelar, Blastoise, mule
Walton Lesch, Arcanine, mole
