Malia Schroeder, Zapdos, hedgehog
Eddie Reichert, Bellsprout, crow
Queen Jakubowski PhD, Articuno, hornet
Kina Predovic Jr., Raticate, bee
Donn Baumbach, Gyarados, goose
Rodolfo Ledner IV, Weezing, bat
Natalie Powlowski, Gyarados, mosquito
Mrs. Theron Reichel, Metapod, cat
Jackie Ledner, Seadra, goat
Gregory Larkin, Arcanine, cicada
Mr. Anjelica Rempel, Nidorino, hamster
Luciano Hettinger, Machoke, snail
Dinorah Huel, Mewtwo, mosquito
Leonila Torp, Pidgeotto, manatee
Brain Hagenes, Pidgeot, leopard
Miss Isaac Schowalter, Nidorino, platypus
Tamra Schamberger, Charizard, panda
Kaycee Kling PhD, Grimer, mole
Ms. Tiesha Wilkinson, Electrode, bee
Kenny McGlynn, Golbat, cicada
Chance Moore, Aerodactyl, wombat
Mrs. Idella Feeney, Pikachu, woodchuck
Lynnette Conn, Grimer, mink
Lavenia Runolfsson, Nidorina, water buffalo
Mrs. Dong Gorczany, Staryu, minnow
Dell Shields, Weepinbell, muskrat
Stacie Pouros, Moltres, walrus
Ms. Madalene Strosin, Pidgeot, guinea pig
Thu Jakubowski, Charmander, grasshopper
Doyle Kautzer, Weezing, crow
Doris McDermott, Staryu, cattle
Dr. Celine Fritsch, Mr. Mime, cod
Miss Fidel Mueller, Poliwag, wildebeest
Morton Huels, Charmeleon, chimpanzee
Blaine Haley II, Hitmonlee, elk
Adam Cruickshank, Gloom, elk
Antonio Larkin, Wigglytuff, salmon
Ward Russel, Onix, cheetah
Vera Prohaska, Magmar, cat
Bryant Klein, Venomoth, wallaby
Don Nader PhD, Dewgong, crow
Miss Yolanda Doyle, Onix, tiger
Arline Spencer, Wigglytuff, spider
Mr. Omar Beer, Sandshrew, snail
Lonny Ward, Pidgey, cat
Cyril Jast, Kadabra, mouse
Herschel Mills, Kadabra, skunk
Elnora West, Jigglypuff, sea lion
Diedra Hickle, Pinsir, wallaby
Doyle Schultz IV, Dugtrio, hornet
