Christoper Gleichner, Squirtle, buffalo
Judy Cartwright PhD, Articuno, camel
Lorilee Paucek, Victreebel, bear
Lakesha Littel, Goldeen, skunk
Julian Muller, Dodrio, tortoise
Porfirio Beer, Marowak, goldfish
Carson Murray, Clefairy, duck
Andrea Fadel, Machop, ant
Tama Russel DVM, Onix, skunk
Mr. Roman Wolff, Nidorina, yellowjacket
Dr. Alphonse Ernser, Kakuna, cod
Teresita Gaylord Sr., Blastoise, monkey
Marietta Balistreri I, Sandslash, clam
Alex Lebsack, Haunter, wildebeest
Mrs. Hal Weber, Magikarp, hornet
Tynisha Blick, Vulpix, deer
Darlene Kuhn V, Poliwrath, goose
Shane Hoeger, Bulbasaur, wallaby
Rolando Thompson, Hitmonlee, sardine
Trey Schuppe, Abra, crocodile
Kelvin Murphy, Horsea, hornet
Athena Simonis, Golduck, eel
Carroll Maggio, Arcanine, buffalo
Abdul Ebert, Fearow, donkey
Jewel Veum, Alakazam, clam
Herschel Kohler, Dewgong, wallaby
Mrs. Nicky Balistreri, Kingler, bear
Dallas Hagenes, Krabby, tortoise
Madonna Lockman, Electrode, grasshopper
Darrel Wolf IV, Marowak, cat
Alex Hauck, Dugtrio, deer
Dustin Leannon, Rhydon, donkey
Galen Morar, Wartortle, termite
Toya Mitchell, Magneton, walrus
Billye Kunze, Mewtwo, manatee
Joshua Witting, Gengar, sardine
Amber Bayer, Slowbro, ape
Kelley Kertzmann, Charmeleon, koala
Jaqueline Will, Graveler, zebra
Boyce Bailey, Charizard, cat
Danilo Treutel, Golem, serval
Shannon Boyer, Snorlax, hippopotamus
Carisa Schmeler I, Lapras, rabbit
Vaughn Champlin, Beedrill, mallard
Mrs. Allan Reichert, Starmie, dog
Ms. Parthenia Rogahn, Ivysaur, gorilla
Dr. Chana Renner, Jolteon, fox
Devon Jones, Muk, shark
Siobhan Ruecker, Weedle, louse
Mr. Annetta Lesch, Kingler, coyote
