Stanley Gislason DDS, Machop, bear
Stella Reynolds, Starmie, snake
Dylan Ortiz, Weedle, horse
Cole Willms, Koffing, eagle
Tatyana Conn, Pidgey, rabbit
Spencer Oberbrunner, Rapidash, alligator
Geraldo Altenwerth, Growlithe, raven
Ernest Keebler, Dragonair, goldfish
Nieves Gleason, Tauros, salmon
Margarett Abshire Jr., Magikarp, ant
Eva Cole, Ponyta, manatee
Alycia Gusikowski, Marowak, wombat
Chadwick Volkman, Seaking, mammoth
Benito Nolan, Vulpix, bear
Drusilla Tillman, Raticate, lizard
Kenyetta Kunze, Tauros, gnu
Dr. Nicky Hyatt, Zapdos, camel
Trinidad McLaughlin, Weepinbell, lion
Tanna Dicki, Seadra, elk
Romelia Collins, Koffing, snail
Romona Jast, Gastly, goose
Edmond Lockman IV, Horsea, camel
Connie Bruen, Metapod, eel
Melvin Murphy, Exeggcute, hippopotamus
Jeremiah Stehr, Paras, armadillo
Dr. Danika Willms, Poliwrath, wildebeest
Boris Leuschke, Pikachu, wolf
Lizette Runte, Exeggutor, gnat
Fernando Gleichner, Kadabra, guinea pig
Teodoro Bruen DVM, Poliwhirl, salmon
Carmela Friesen, Weezing, sardine
Danica Rodriguez, Weepinbell, salmon
Walker Rosenbaum Sr., Raichu, porcupine
Ellsworth Hills, Oddish, swan
Shavonda Crist DVM, Paras, fish
Ellsworth Erdman, Exeggcute, rabbit
Travis Purdy, Muk, woodchuck
Roland Kuphal, Machop, muskrat
Mr. Orlando Gutmann, Paras, serval
Felicidad Wyman, Tentacool, rhinoceros
Carry Rowe DDS, Raichu, mink
Earl Lubowitz, Tentacool, hippopotamus
Nobuko Christiansen, Primeape, marten
Marvel Torp, Voltorb, jellyfish
Allen Cummerata, Mr. Mime, chimpanzee
Rhea Raynor, Dugtrio, squirrel
Quinton Langosh V, Machoke, rabbit
Ezequiel Nolan, Zubat, bee
Shelton Pfeffer IV, Rattata, jackal
Wally Jerde, Kingler, muskrat
