Cristal Wisoky, Poliwag, hare
Carmen Russel, Charmeleon, butterfly
Ludie Ernser, Jolteon, grasshopper
Jack Kirlin, Meowth, duck
Antonio Thompson Jr., Nidoran, ape
Monty Kub, Jynx, wombat
Miss Melvin Bernhard, Clefable, ant
Dorian Wolf Sr., Pikachu, macaw
Emanuel Hills, Tangela, panda
Tommye Feil DDS, Rapidash, pig
Theo Schumm, Seadra, clam
Cameron Lang, Kangaskhan, cockroach
Hilton Kautzer PhD, Slowpoke, wasp
Jannette Brekke, Omanyte, hyena
Larita Rodriguez, Clefairy, manatee
Nicholas Schneider MD, Blastoise, locust
Janett Block, Pidgey, worm
Leo DuBuque, Aerodactyl, gnat
Dorthey Russel PhD, Magmar, turtle 
Benny Hoeger, Starmie, elk
Mrs. Forest Keebler, Tangela, wolf
Mrs. Kylie Smitham, Marowak, louse
Gaylord Williamson, Machamp, mallard
Ms. Floyd Marks, Wigglytuff, elephant
Michal Hintz Jr., Poliwrath, impala
Hoyt Aufderhar Sr., Raticate, sea lion
Karry Hettinger, Dewgong, duck
Diego Jast, Charmeleon, shark
Kurt Hagenes, Caterpie, gerbil
Blythe Trantow IV, Scyther, hippopotamus
Leonila Wiegand, Marowak, skunk
Ezra Okuneva DVM, Jigglypuff, eagle
Beau Reichert, Gyarados, tiger
Mrs. Adell Block, Dratini, koala
Rutha Hickle, Bulbasaur, grasshopper
Gordon Donnelly, Victreebel, wolf
Maira Hickle, Tangela, dog
Lauran Stracke, Shellder, water buffalo
Miss Nicky Gislason, Geodude, manatee
Isaac Russel, Magikarp, rabbit
Mrs. Hugo Waters, Scyther, bat
Jake Torphy PhD, Goldeen, termite
Genie Fahey, Gastly, coyote
Jonathon Hilpert, Exeggcute, zebra
Arlean Macejkovic, Rattata, wolf
Miss Riley Quitzon, Arbok, woodchuck
Mechelle Renner Jr., Charizard, hamster
Seema Cronin, Jynx, monkey
Genevive Cronin, Jolteon, baboon
Greta Bergnaum, Venusaur, platypus
