Dr. Anisa Windler, Lickitung, mule
Arden Braun, Gloom, raccoon
Thora Kuhn, Electabuzz, fly
Ava Torp, Chansey, raven
Ian Padberg, Poliwag, caribou
Lamar Lebsack, Farfetch'd, yellowjacket
Mr. Ivan Fritsch, Ditto, otter
Jesusa Bosco, Nidoking, crab
Ora Johnston, Mew, eel
Leif Cassin, Magikarp, fish
Andre O'Keefe, Drowzee, goat
Rodolfo Moen, Dodrio, cricket
Shala Gutmann, Cloyster, turtle 
Mariel Kutch, Tangela, swan
Donovan Haley, Weepinbell, donkey
Vernetta Herman, Diglett, panda
Lieselotte Gutkowski, Dodrio, dog
Jeromy Price, Weezing, duck
Shawanda Morar I, Tentacool, hare
Felton Schmitt, Shellder, locust
Zack Lubowitz, Dragonair, monkey
Kendall Schultz, Kangaskhan, scorpion
Mr. Jame Hartmann, Kabutops, mule
Elvis Smitham, Gloom, seal
Dona Mertz Jr., Golduck, sardine
Catherine Botsford, Scyther, frog
Katrina Bode DDS, Nidoking, dinosaur
Kennith Pacocha, Seel, caribou
Refugio O'Connell, Haunter, rat
Cythia Torphy, Doduo, macaw
Ms. Lovie Mertz, Vulpix, shark
Arlen Hudson, Mankey, butterfly
Miss Merrilee Keebler, Chansey, alpaca
Theodore Towne, Kadabra, spider
Elias Ruecker, Drowzee, deer
Kina Sawayn, Porygon, porcupine
Lavern Kessler, Charmeleon, tiger
Dewey Bauch, Wartortle, chinchilla
Gordon Lynch, Zubat, caribou
Brittani Hagenes, Chansey, yak
Israel Harvey, Victreebel, muskrat
Carl Senger, Drowzee, hound
Hermina Frami, Farfetch'd, horse
Dr. Williemae Kutch, Oddish, muskrat
Santo Barton, Venomoth, porpoise
Henry Roberts, Ekans, termite
Clark Gleason, Kangaskhan, cockroach
Zachariah Mosciski, Mewtwo, bear
Margert Farrell, Dugtrio, goose
Almeda Pfannerstill, Omanyte, giraffe
