Kerstin Windler, Ditto, cheetah
Cedric Waters, Growlithe, grasshopper
Will Pollich, Hypno, panda
Mallie Ortiz PhD, Electrode, wolf
Kum Boyer, Venonat, bee
Patria Considine, Dragonair, salmon
Sid Hamill, Paras, raccoon
Tracy Buckridge, Charmander, elk
Ashleigh Howell I, Wigglytuff, wallaby
Ilse Olson Jr., Poliwhirl, hare
Chana Wisozk, Zapdos, goose
Bruce Becker, Kangaskhan, marten
Raven Mueller III, Rhyhorn, crow
Chance Lind DVM, Kakuna, moose
Zachery Torp, Kangaskhan, sardine
Ms. Rolando King, Clefairy, ant
Dr. Dawna Kohler, Primeape, chimpanzee
Sheron Gusikowski Jr., Golem, fly
Daisy Rutherford, Charmeleon, worm
Malcolm Cassin DDS, Snorlax, macaw
Sherryl Johnson, Lickitung, manatee
Cicely Parker III, Grimer, mule
Kelly Gleason, Pinsir, skunk
Kacie Monahan DVM, Magnemite, antelope
Kerri Carroll, Staryu, sheep
Chia Schinner, Bellsprout, goldfish
Omer Beatty, Lapras, koala
Dexter Osinski, Butterfree, goat
Mrs. Thaddeus Hackett, Dewgong, snail
Avery Homenick, Pidgeot, raccoon
Hortencia Ullrich, Growlithe, horse
Dr. Evan Stanton, Mankey, wildebeest
Marielle Nikolaus, Wartortle, impala
Dr. Elva Rogahn, Kakuna, zebra
Ms. Steve Doyle, Vaporeon, llama
Lucina Hudson, Magmar, clam
Mackenzie Lubowitz, Arbok, lion
Jesus Frami, Kakuna, elk
Kourtney Schamberger, Bulbasaur, turtle 
Miss Van Schumm, Omastar, mallard
Bryant Koch, Parasect, beaver
Milford Block, Arcanine, giraffe
Sheba Hills, Rattata, guinea pig
Teodoro Wolff, Cubone, manatee
Mrs. Neil Bergnaum, Gloom, hippopotamus
Markus Pagac, Rapidash, gnat
Lavern Stamm, Jolteon, monkey
Christopher Bode DDS, Nidorina, hedgehog
Miss Myles Kiehn, Butterfree, cricket
Wesley Wintheiser, Exeggutor, oyster
