Gerry Weissnat, Eevee, gerbil
Leonia Marquardt, Butterfree, yellowjacket
Chang Sawayn PhD, Parasect, mink
Hugh Marvin, Nidorina, pug
Ivy Nitzsche, Mankey, spider
Tory O'Keefe, Seel, jellyfish
Candelaria Willms, Pikachu, swan
Forest Fisher, Cubone, seal
Mrs. Cyril Hand, Exeggcute, frog
Chase Gorczany, Magikarp, hamster
Dr. Chantelle Ondricka, Nidoking, serval
Rosario Witting, Weepinbell, deer
Chadwick Funk, Psyduck, crab
Charley Lynch, Mewtwo, baboon
Randolph Okuneva, Krabby, skunk
Vanda Rowe, Cubone, locust
Nathan Bauch, Exeggcute, walrus
Ms. Randolph Turner, Gloom, rat
Mrs. Chas Mueller, Poliwhirl, cockroach
Mr. Jonas Luettgen, Kakuna, eagle
Aja Hoeger, Pidgeotto, louse
Inga Mitchell, Lapras, dog
Ronnie Hintz, Venonat, manatee
Venita Heller, Golduck, crow
Charlesetta Jacobi, Haunter, moose
Lloyd Dickens, Poliwrath, spider
Jackie Russel, Beedrill, crow
Duane Abbott MD, Zapdos, mule
Arthur Dare, Squirtle, pig
Nichole Schiller, Hitmonchan, dog
Dr. Arlie Schmidt, Nidoran, marten
Darwin Ebert, Ponyta, yellowjacket
Katheleen Gutkowski, Ivysaur, hornet
Ms. Veronica Luettgen, Pidgeotto, snake
Maida Lehner, Pidgey, crab
Tisha Jones V, Mr. Mime, ant
Octavia Howe, Lapras, minnow
Roxann Mertz, Kabutops, horse
Jeanine Durgan, Exeggcute, walrus
Jamey Jerde, Tauros, yellowjacket
Clayton Pfannerstill, Ivysaur, eel
Jason Leuschke, Kangaskhan, salmon
Debera Batz, Aerodactyl, cicada
Elwood Wunsch, Magneton, louse
Hosea Goodwin, Nidoking, crab
Dusti Hartmann V, Rhydon, rhinoceros
Octavio Yost, Tentacool, mink
Mr. Dominic Bosco, Hypno, baboon
Dannie Bergstrom DDS, Nidoqueen, muskrat
Malcolm Anderson, Pidgey, horse
