Orlando Purdy, Bellsprout, monkey
Olivia Jacobi, Wigglytuff, raven
Miss Chad Effertz, Magnemite, weasel
Nelida Harber, Caterpie, serval
Numbers West, Electabuzz, porcupine
Delbert Hackett, Muk, oyster
Joetta Block, Beedrill, herring
Librada Ryan, Nidorino, tortoise
Miss Tama Feest, Metapod, bee
Stephine Spencer, Nidoking, butterfly
Patricia Schmeler IV, Seaking, snail
Tam Gutmann, Drowzee, hamster
Trish Goodwin, Pidgeotto, skunk
Jack Ondricka, Staryu, muskrat
Ruth Padberg, Machop, frog
Melvin Tillman, Seaking, squirrel
Garret Kozey, Exeggcute, ape
Silas Carroll, Ekans, cicada
Aliza Feest IV, Voltorb, woodchuck
Lino Auer, Tangela, dolphin
Tess Stamm, Magnemite, fox
Thaddeus Daugherty, Parasect, eel
Porfirio Schaden, Mr. Mime, duck
Frederick Brown, Kabutops, lizard
Emilia Swaniawski DVM, Gloom, koala
Latanya Kassulke I, Sandshrew, alligator
Pedro Kiehn, Kingler, grasshopper
Andreas Ward, Tauros, alpaca
Mrs. Stefani Robel, Shellder, horse
Leida Douglas, Abra, squirrel
Filiberto Torphy, Nidoqueen, weasel
Maryanna Turner, Charmander, snail
Aundrea Greenholt, Graveler, horse
Rosendo Lindgren PhD, Pinsir, mallard
Edgardo Weimann, Dragonite, whale
Tyron Ondricka, Doduo, pig
Esther Dooley, Psyduck, manatee
Ms. Frederick Sanford, Arcanine, fox
Horacio Ratke, Omanyte, yellowjacket
Ellis Runte, Magnemite, mouse
Devin Jones, Rhydon, kangaroo
Shawn Kertzmann PhD, Dewgong, pig
Morton Dach V, Fearow, yak
Don Lakin, Hitmonlee, chinchilla
Crystle Senger, Starmie, elk
Mrs. Alva Thiel, Seel, rhinoceros
Mrs. Dessie Harris, Dratini, cheetah
Miss Burton Bauch, Rattata, cod
Miss Cristobal O'Conner, Marowak, ape
Jenifer Lueilwitz DDS, Charizard, cod
