Ms. Martin Braun, Kabuto, platypus
Ira Jenkins, Slowpoke, fox
Curtis Smith, Kangaskhan, hyena
Asa Grimes, Moltres, whale
Cordia Crona, Primeape, termite
Deedra Keeling, Goldeen, fish
Mr. Mallie Langworth, Poliwag, guinea pig
Antonio Stanton II, Gyarados, hound
Carlos Williamson, Rhyhorn, whale
Janina Stamm, Staryu, horse
Darron Miller I, Kangaskhan, camel
Aracelis Wisoky, Ponyta, beetle
Kris Stoltenberg, Nidoran, gorilla
Donnell Gleichner, Bulbasaur, marten
Parthenia Cronin, Golduck, mosquito
Tijuana Gottlieb, Wartortle, zebra
Stevie Goldner, Snorlax, elephant
Barbara Hayes Jr., Seel, pug
Joie Hessel Jr., Graveler, cricket
Katherine Schneider, Gengar, prairie dog
Charley Bins, Charmander, snake
Cierra Reynolds, Omastar, raccoon
Sal Lesch, Nidorina, pig
Mrs. Loralee Runolfsdottir, Raticate, toad
Jamal Harber III, Charmeleon, beetle
Dorinda Baumbach, Dodrio, llama
Augustine Homenick, Beedrill, camel
Miss Leroy McLaughlin, Ditto, panda
Roberto Blanda, Onix, toad
Harriette Hackett MD, Magmar, hippopotamus
Ward Graham, Charmeleon, snake
Ted Spencer, Koffing, frog
Kelvin Borer, Magnemite, fly
Dr. Lin Batz, Koffing, crocodile
Trevor Koch, Rapidash, water buffalo
Mrs. Carissa Powlowski, Caterpie, scorpion
Sydney Terry, Raticate, hound
Monty Little, Scyther, reindeer
Wilber Cummerata, Nidorina, manatee
Minh Thiel III, Seaking, gnat
Mr. Lonnie Ortiz, Wigglytuff, macaw
Alise Kuhn, Sandshrew, wolf
Logan Mante, Geodude, dinosaur
Charise Will, Raticate, tiger
Dell Robel Sr., Venomoth, snake
Faustina Kilback, Farfetch'd, ox
Luigi Fahey, Gloom, sea lion
Zane Senger, Hypno, crow
Laveta Quitzon, Weezing, mink
Loreen Tromp, Ditto, salmon
