Alison Cormier, Machamp, hedgehog
German Jones, Pinsir, macaw
Lynna Streich, Ninetales, cod
Hayden Boyer III, Gastly, butterfly
Tomas Blanda, Poliwrath, pug
Miss Pearline Toy, Farfetch'd, zebra
Mauricio Skiles, Lickitung, serval
Jimmy Johnson MD, Staryu, sea lion
Leo Hudson, Electrode, cod
Antonia Cremin, Zubat, moose
Miss Alfredia Schuppe, Kadabra, squirrel
Gus Zulauf III, Mankey, bat
Delmar Kub, Kabutops, minnow
Omer Swift, Venusaur, eel
Carmela Schumm, Rhyhorn, mink
Rosella Jast, Voltorb, mink
Stella Abbott, Venomoth, porpoise
Ha Lubowitz, Dragonair, camel
Ms. Edward MacGyver, Koffing, goose
Kevin Thompson V, Venomoth, llama
Jude Koch, Rattata, lizard
Ja Trantow, Eevee, mule
Oleta Sanford, Magneton, cockroach
Yesenia Stiedemann, Dewgong, salmon
Nick Leuschke, Bulbasaur, hedgehog
Mrs. Russ Treutel, Eevee, mule
Shaun Shields, Tangela, beaver
Barrett Cummerata, Rattata, pug
Dede Heathcote, Shellder, hamster
Kurt Zieme, Poliwrath, chinchilla
Dr. Charlotte Koepp, Machoke, leopard
Agueda Harvey, Magnemite, oyster
Lonnie Hodkiewicz, Ninetales, badger
Sung Ankunding, Oddish, porcupine
Steve Mante, Wartortle, elk
Lee Maggio Jr., Goldeen, grasshopper
Mathew Gutkowski, Muk, raven
Phoebe Vandervort DVM, Poliwhirl, hyena
Ethan Paucek, Alakazam, wildebeest
Alva Rau, Tentacool, ox
Miss Adah Abshire, Persian, herring
Clarinda Hintz, Seadra, jellyfish
Noriko Treutel, Gastly, dolphin
Mrs. Zulema Fay, Vulpix, wallaby
Karima Emard, Articuno, mule
Bruce Kulas PhD, Metapod, mole
Shane Crooks, Electabuzz, platypus
Lue Koelpin II, Slowbro, muskrat
Gerald Koepp, Rhyhorn, wallaby
Jeane Gorczany MD, Growlithe, jackal
