Grant Kohler PhD, Alakazam, termite
Stephen Ratke, Weepinbell, wolf
Joaquin D'Amore, Lapras, monkey
Dr. Etha Runolfsdottir, Machoke, yellowjacket
Hassie Bauch, Raticate, wallaby
Norman Wilkinson, Dragonite, llama
Bernie Heidenreich, Omanyte, hedgehog
Denna Kuhn, Dugtrio, seal
Angelo Romaguera, Clefairy, mouse
Barrett Considine PhD, Diglett, snail
Demetrius Macejkovic, Metapod, zebra
Miss Santiago Hoppe, Nidoran, grasshopper
Edmundo Leuschke, Wigglytuff, manatee
Miss Lucrecia King, Nidoran, bear
Katelynn Langosh, Jolteon, gerbil
Kyla Lueilwitz, Rhydon, hamster
Dr. Bennie Champlin, Exeggcute, buffalo
Allen Jones, Slowpoke, raven
Amal Becker, Rhyhorn, rhinoceros
Wilmer Welch, Dratini, armadillo
Phung Hoppe, Psyduck, cicada
Deandre Doyle, Clefable, mosquito
Luigi Simonis, Meowth, caribou
Mickey Will, Bellsprout, bee
Kimbery Hills, Rhyhorn, mallard
Tuan Dickens, Squirtle, fox
Penni Leannon, Porygon, fox
Dr. Ellis Jacobs, Venusaur, louse
Kelly Schaefer, Raichu, gorilla
Oren Breitenberg III, Venomoth, beetle
Dulce Kshlerin, Zapdos, shark
Dr. Morris Gleason, Seaking, wasp
Dorsey Lindgren, Omanyte, wolf
Christena Howell, Paras, horse
Samella Schultz, Haunter, mammoth
Gilbert Thiel, Charizard, koala
Candelaria McClure, Vaporeon, goose
Scottie Quigley III, Charmeleon, sheep
Jeffrey Schaefer III, Lickitung, antelope
Ouida Lind, Raichu, hedgehog
Dr. Sherlene Lynch, Geodude, koala
Dr. Phillip Boyer, Poliwag, camel
Dwain Zboncak DVM, Pikachu, cod
Theresa King, Arbok, yak
Bobbie Herman, Electrode, ant
Gerardo Rath, Abra, hippopotamus
Lauren Friesen, Hitmonlee, crab
Wenona Sipes, Geodude, elephant
Alvera McDermott, Electabuzz, coyote
Jerald Corkery PhD, Magmar, duck
