Mrs. Sydney Hane, Dodrio, dog
Lashonda Wintheiser DDS, Slowpoke, turtle 
Bruce Hirthe, Staryu, turtle 
Shaina Mosciski, Gyarados, hound
Liliana Hilpert, Beedrill, cattle
Toshia Greenfelder PhD, Seel, macaw
Johnathan Moore, Sandslash, goldfish
Demarcus Turner, Meowth, termite
Dr. Jake Murphy, Alakazam, fly
Grover Kuvalis, Bellsprout, butterfly
Franklin Gibson DDS, Nidorino, ferret
Colleen Durgan, Hitmonlee, hare
Shakia O'Conner, Blastoise, eagle
Ali Rolfson, Growlithe, mallard
Lonna Huel, Dratini, hippopotamus
Ms. Hobert Moen, Metapod, wasp
Steven Ledner, Poliwag, goldfish
Nicholas Beier, Vileplume, snail
Shon Abbott, Tangela, tiger
Lamar Zulauf, Vulpix, camel
Andria O'Reilly, Ivysaur, eagle
Daine Russel, Rattata, gnu
Florencio Hoeger, Eevee, trout
Ms. Tracey Carter, Vileplume, reindeer
Miss Kristian Konopelski, Staryu, cricket
Skye Grimes, Electrode, raven
Mrs. Eugenio Fadel, Meowth, sardine
Enrique Rosenbaum II, Articuno, raven
Curt Nikolaus, Voltorb, mallard
Michel Kiehn II, Rattata, snake
Anton Klocko, Dodrio, alligator
Ivan Nolan, Kangaskhan, fish
Margarete Wolff, Psyduck, baboon
Mrs. Domingo Moore, Metapod, snake
Walton Schimmel, Charmander, shark
Teresa Murray Sr., Grimer, hornet
Alix Hilpert, Nidoran, porpoise
Mrs. Karri Kuvalis, Clefable, sardine
Ashlyn Kunde, Weedle, rhinoceros
Casey Oberbrunner IV, Primeape, muskrat
Concha Rohan, Nidorina, oyster
Mark Stokes, Zapdos, rhinoceros
Salvatore Koelpin, Machamp, horse
Miss Cleveland Bergnaum, Butterfree, rhinoceros
Sondra Mertz, Vaporeon, ox
Edra Dare III, Tangela, guinea pig
Travis Mills, Bulbasaur, horse
Guillermina Yundt III, Butterfree, badger
Ina Wyman IV, Muk, gnu
Nancy Bayer, Charmander, termite
