Anibal Hermiston, Marowak, swan
Guadalupe Greenfelder, Kabuto, bat
Malik Friesen, Golem, monkey
Mrs. Marquetta Ryan, Bulbasaur, goose
Taina Hahn, Dodrio, gerbil
Miss Shanice Howell, Flareon, shark
Danette Schimmel I, Wartortle, sardine
Latonia West Jr., Ninetales, otter
Miss Sha Konopelski, Nidorina, serval
Coralee Durgan, Cubone, llama
Charlie Herzog, Magmar, marten
Ms. Carlyn Durgan, Exeggutor, goose
Carmina Casper, Seadra, manatee
Angelina Ferry, Chansey, wolf
Veta D'Amore DDS, Alakazam, monkey
Jody West, Weedle, spider
Miss Sunday Kris, Beedrill, rat
Whitley Dickinson, Blastoise, spider
Hilton Bergnaum, Slowbro, cockroach
Kym Stroman, Omanyte, porcupine
Caroyln Huel, Magnemite, elk
Frankie Luettgen, Tentacruel, antelope
Lidia Botsford, Geodude, cockroach
Gino Schiller Sr., Moltres, impala
Nida Bauch, Lickitung, yellowjacket
Lory Runte, Kabuto, grasshopper
Thora Jones, Ivysaur, marten
Dewitt Buckridge, Golduck, hound
Lucien Kshlerin Jr., Venusaur, mammoth
Zora Donnelly, Cloyster, grasshopper
Maryellen Grant, Rhyhorn, tortoise
Mayola Mraz I, Beedrill, goat
Mr. Susy Schumm, Nidoran, manatee
Noma Collier, Horsea, baboon
Hortense Balistreri, Paras, baboon
Miss Nancee Mraz, Poliwrath, whale
Bunny Zulauf, Geodude, elephant
Gary Bruen, Charmander, goat
Tory Goodwin MD, Flareon, giraffe
Chu Pfeffer, Pidgeot, water buffalo
Hong Upton, Paras, woodchuck
Steven Legros, Ninetales, manatee
Randell Murphy, Golbat, woodchuck
Greg Corkery, Cloyster, wildebeest
Antonia Johnston, Persian, hare
Maximina Mann, Parasect, trout
Lester O'Kon, Voltorb, sardine
Hollis Gulgowski, Bellsprout, weasel
Randolph Renner, Cloyster, yak
Kyla Jakubowski PhD, Zubat, muskrat
