Ms. Hyman Hane, Omanyte, antelope
Gordon Rogahn, Slowbro, salmon
Cyril Morar, Electrode, mouse
Dr. Ezequiel Brown, Venusaur, lion
Dr. Ethelene Bailey, Cloyster, donkey
Cleopatra Klein, Weedle, giraffe
Lorilee Fisher, Charizard, ox
Melva Batz, Nidorina, sardine
Loan Turner, Persian, chinchilla
Darin Koch, Raticate, hippopotamus
Edna Waelchi, Graveler, goldfish
Rogelio Ebert, Electrode, camel
Mrs. Zandra Bartell, Staryu, elephant
Chuck Turner, Gastly, pig
Larue Kling, Eevee, porcupine
Dr. Lawerence Boyer, Primeape, cod
Ms. Lazaro Hammes, Pidgeot, bat
Mr. Bernard Effertz, Charizard, guinea pig
Sheree Beer, Flareon, dinosaur
Wava Daniel, Nidoqueen, ant
Vernell Blick, Pikachu, mule
Denis Boyle, Arcanine, zebra
Mohamed DuBuque, Tentacool, mammoth
Lottie Batz, Jynx, pug
William Daniel DVM, Golbat, hyena
Johnathan Doyle, Vileplume, buffalo
Murray Terry, Clefairy, zebra
Lizbeth Gerlach, Zubat, clam
Fawn Schiller, Scyther, mouse
Ema Smitham Sr., Wartortle, oyster
Miss Trevor Ward, Venomoth, camel
Mr. Darrin Reichel, Dragonair, dinosaur
Eusebio Conn Jr., Eevee, otter
Vance Shanahan, Growlithe, termite
Andres Kozey, Charmeleon, whale
Kristan Lowe, Kakuna, goat
Ricky Mertz, Zapdos, caribou
Phylis Jast, Jolteon, badger
Janita Dicki, Tentacool, lizard
Dustin Metz, Geodude, lion
Gonzalo Yundt II, Electabuzz, pug
Ms. Kassie Reichel, Rapidash, woodchuck
Lesley Howe, Jynx, horse
Elliot Bruen I, Staryu, rhinoceros
Mr. Randy Stark, Pidgeotto, macaw
Tim Funk, Meowth, giraffe
Ashlea Wintheiser, Omanyte, weasel
Tobias Keeling PhD, Metapod, lion
Robert Heathcote, Vulpix, gnat
Edmundo Heaney I, Voltorb, cicada
