Maxie Walsh, Rhydon, gerbil
Bobbye Block, Seel, yellowjacket
Celsa Kovacek, Magmar, giraffe
Anderson Jacobson, Nidorina, zebra
Kelle Ritchie, Graveler, coyote
Azucena Dibbert, Mewtwo, skunk
Cecil Ankunding, Haunter, bee
Judson Walter, Jolteon, beaver
Mr. Ruben Walsh, Kadabra, termite
Dominque Swift, Golbat, muskrat
Mr. Madonna Torp, Abra, monkey
Mrs. Quincy Koelpin, Ninetales, macaw
Mr. Maurice Fritsch, Electrode, lizard
Ms. Shanda Auer, Muk, impala
Miss Denese Streich, Goldeen, wasp
Sari Dietrich, Venusaur, pug
Alphonse Fadel, Slowbro, dinosaur
Suzanne Hamill Jr., Gengar, hare
Bonita O'Connell, Gloom, water buffalo
China Ernser MD, Kabuto, leopard
Chester Langosh, Gloom, dinosaur
Yajaira Hermann MD, Starmie, wallaby
Cletus Haley, Krabby, zebra
Leticia Grant, Pinsir, gerbil
Fairy Medhurst, Jynx, jellyfish
Bernadine Krajcik I, Butterfree, wallaby
Mrs. Jasper Pfannerstill, Voltorb, scorpion
Carter Reynolds, Venusaur, marten
Flor West, Nidoran, hare
Mr. Domenic Jast, Arbok, giraffe
Cleo Hegmann, Doduo, coyote
Dottie Kuphal, Nidoran, louse
Miss Morris Crist, Rhydon, monkey
Jarod Gibson, Bulbasaur, ox
Alexis Willms PhD, Paras, locust
Dr. Shavonne Denesik, Arcanine, cockroach
Doria Rosenbaum, Moltres, woodchuck
Yadira Hettinger, Primeape, spider
Vergie Fahey, Gengar, swan
Era Schmitt, Mr. Mime, mosquito
Dr. Carmon Hagenes, Squirtle, lizard
Ahmed Breitenberg, Rhydon, rat
Kent Quigley, Vulpix, snail
Carroll Runte, Cloyster, armadillo
Luciano Herzog, Pidgeot, mink
Kecia Marks Jr., Vulpix, porpoise
Farrah Herzog, Vaporeon, beetle
Dagmar Zulauf, Magnemite, deer
Miss Britteny Blick, Articuno, fly
Minh Marks, Arcanine, guinea pig
