Odessa Jacobi, Porygon, crab
Tenisha Stroman, Slowpoke, mink
Willa Medhurst, Beedrill, walrus
Chelsie Emmerich, Muk, gorilla
Bud Roob, Charmander, hippopotamus
Dr. Stephaine Ferry, Dodrio, elephant
Fay Gleason, Magmar, louse
Louis Pfeffer, Venonat, snail
Kendrick Mraz, Charizard, bear
Elodia Gutkowski, Caterpie, crow
Daniella Erdman, Magikarp, raven
Ms. Keneth Jakubowski, Dragonite, gnat
Rosalba Gulgowski, Victreebel, impala
Ned Bogisich V, Staryu, pig
Kenneth Toy, Golem, wallaby
Valentin Heaney I, Magnemite, weasel
Granville Cole, Tangela, porcupine
Mr. Stewart Krajcik, Golduck, cockroach
Dr. Jean Champlin, Goldeen, gnu
Noemi Smith, Ekans, marten
Fidela Balistreri, Hitmonchan, otter
Dorian Bogan MD, Ivysaur, butterfly
Rubin Aufderhar MD, Gengar, camel
Colin Waelchi I, Dratini, camel
Lamar Mayert, Machamp, mouse
Tracy Powlowski MD, Lickitung, dolphin
Lavinia Legros IV, Machamp, locust
Kirstie Jerde, Magmar, hound
Randell Bins, Venomoth, fish
Ms. Quinn Adams, Clefairy, porcupine
Tyisha Goyette I, Kadabra, raven
Sharri Lang IV, Pidgey, moose
Travis Padberg, Pinsir, snake
Gregorio Roob III, Ivysaur, rhinoceros
Delbert Weber, Bellsprout, dinosaur
Briana Schowalter PhD, Flareon, hornet
Cary Mann, Paras, fish
Ms. Deangelo Cruickshank, Blastoise, seal
Peter Parisian, Lickitung, gnat
Arnoldo Schmitt, Jolteon, wasp
Yan Herzog I, Haunter, mammoth
Antoine Buckridge, Golem, hornet
Venessa Hintz, Kabutops, ox
Kaila Barton DVM, Nidoqueen, shark
Monika Franecki, Starmie, shark
Mora Konopelski V, Charmeleon, giraffe
Ross Wisozk, Drowzee, ox
Karl Pollich, Golbat, locust
Yanira Borer, Alakazam, buffalo
Roberta Walsh, Ditto, goldfish
