Ezekiel Bednar, Bellsprout, lion
Vanna Stokes, Koffing, hornet
Winford McGlynn, Omanyte, tortoise
Mr. Shanell Barton, Kadabra, hound
Malik Runte, Tauros, hedgehog
Celestina McKenzie, Fearow, mink
Rosalba Quigley, Ivysaur, louse
Faustino Kilback, Cubone, rabbit
Jeanine Wiegand, Venonat, ape
Mr. Jonathan Kuvalis, Marowak, crow
Evan Mann, Vaporeon, locust
Patricia West, Kabuto, walrus
Sebastian Parker II, Mewtwo, cattle
Linn Homenick, Seadra, rhinoceros
Michale Osinski, Golbat, beetle
Ai Block, Eevee, wombat
Dr. Roscoe Kuhlman, Aerodactyl, toad
Mr. Von Wunsch, Kadabra, porcupine
Nancee Botsford, Golem, hippopotamus
Brian Jaskolski, Kangaskhan, goldfish
Conception Wisozk, Ponyta, eel
Otha Walsh, Fearow, seal
Palma Labadie, Tangela, cicada
Ruben Feest, Exeggutor, bat
Columbus Marvin, Chansey, wombat
Herta Ryan, Nidoking, cheetah
Maynard Lakin, Tentacruel, otter
Jamal Bosco, Mr. Mime, prairie dog
Clemente Kovacek, Zapdos, otter
Wes Mitchell, Omastar, mole
Miss Barney Johnston, Pidgeot, worm
Titus Hodkiewicz II, Alakazam, manatee
Petronila Bergnaum, Parasect, macaw
Miss Sharonda Ullrich, Growlithe, clam
Mrs. Jaunita Terry, Zubat, eagle
Kyung Aufderhar PhD, Magikarp, tortoise
Errol Schaden, Kabutops, water buffalo
Magdalena Bashirian, Vulpix, hornet
Ruben Price, Venomoth, toad
Rosanne Ortiz, Krabby, seal
Nicolas Lowe, Hitmonchan, beaver
Jed Gibson, Jigglypuff, mule
Colette Barrows, Pinsir, deer
Mrs. Aracelis Hagenes, Beedrill, marten
Cesar Bednar, Wigglytuff, lizard
Myriam Dicki, Pikachu, serval
Sharyl Quigley, Electrode, camel
Rebbecca Goldner, Magnemite, caribou
Lou Metz, Oddish, horse
Kanisha Towne, Articuno, porcupine
