Emile O'Connell V, Drowzee, panda
Mimi Pouros, Parasect, platypus
Sung Bogisich, Poliwag, scorpion
Danial Johns, Poliwhirl, marten
Gaynelle Kub, Articuno, chinchilla
Matthew Beer, Venomoth, sardine
Jetta Hegmann, Slowbro, fox
Sebrina Mills, Haunter, crocodile
Barton Jaskolski, Pidgeot, chinchilla
Christopher Herzog, Oddish, yak
Lenora Wiegand, Wartortle, goose
Debera Rippin, Wartortle, marten
Eugenio Christiansen, Pidgeotto, ox
Cameron Roob PhD, Haunter, seal
Jeanie Littel, Marowak, whale
Dr. Maddie Christiansen, Poliwag, elephant
Lizbeth Bosco, Dugtrio, rabbit
Hulda Ullrich, Venusaur, fly
Patrick Vandervort III, Jolteon, minnow
Lauretta Bartoletti, Bellsprout, dog
Ms. Mervin Wolf, Slowbro, monkey
Lavonne Kuphal, Meowth, minnow
Torie Hauck, Nidoran, cheetah
Bettye Grant, Meowth, camel
Tania McKenzie I, Ditto, porpoise
Tony Sporer, Koffing, elephant
Lizzie Rempel, Primeape, squirrel
Richard Hintz, Blastoise, frog
Alesia Donnelly, Tentacruel, hound
Antionette Farrell, Kangaskhan, hound
Dr. Nelly Volkman, Omanyte, wasp
Nelson Treutel, Poliwhirl, hyena
Garry Runolfsdottir, Fearow, crow
Toby Langosh, Grimer, duck
Morton Zemlak, Koffing, cicada
Latosha Nolan DVM, Scyther, skunk
Ali Jerde, Butterfree, yellowjacket
Fletcher Hudson PhD, Kakuna, whale
Miss Felicia Leannon, Metapod, giraffe
Irvin Parker, Nidoran, mammoth
Lynn Stoltenberg V, Vileplume, dolphin
Nelia Keeling, Venonat, fox
Christoper Howe, Rapidash, hare
Beatris Conn, Tentacruel, walrus
Zona Heidenreich, Psyduck, gnu
Magan Wolf, Seadra, giraffe
Keisha Dietrich, Bellsprout, pug
Dr. Pedro Jerde, Pinsir, ox
Mr. Talia West, Machop, herring
Micaela Lowe, Ekans, goat
