Bradly Rodriguez, Vaporeon, caribou
Mariko Sanford, Caterpie, llama
Anderson Denesik, Ponyta, weasel
Adria Homenick MD, Alakazam, eagle
Kortney Miller, Sandslash, rabbit
Benedict Cronin, Nidorina, otter
Aleen Yost, Magneton, wildebeest
Eusebio Fahey, Bellsprout, alpaca
Arlean Abshire, Pidgeot, mink
Emile Kuhn, Fearow, mule
Jonathan Gaylord, Muk, hyena
Mrs. Iluminada Kirlin, Farfetch'd, eagle
Merle Towne, Kingler, hamster
Dr. Charity Gulgowski, Lapras, squirrel
Tricia Nitzsche, Paras, macaw
Iola Howe, Charizard, mosquito
Wes Gutkowski, Hypno, raccoon
Mrs. Felipe Jast, Voltorb, scorpion
Mrs. Mohammed Witting, Charmeleon, wombat
Lyman Lakin, Venusaur, squirrel
Ms. Rikki Brakus, Mewtwo, fly
Francis Cronin, Mew, ant
Buford Yost, Dratini, gnat
Fredericka Stoltenberg, Caterpie, raven
Lisa Collier, Electrode, spider
Nadene Spencer, Dratini, yellowjacket
Miss Randa Raynor, Exeggutor, crow
Darleen Muller, Magikarp, impala
Sergio Oberbrunner, Magikarp, ferret
Juana Senger, Nidoking, zebra
Maryanna Smitham, Arcanine, elephant
Tatyana Olson, Butterfree, hippopotamus
Yolando Harber, Kabutops, shark
Dr. Valentine Boyle, Cloyster, gorilla
Refugio Hamill, Jynx, baboon
Kathaleen Hickle, Pidgeot, bee
Allan Ankunding, Venomoth, moose
Norman Anderson, Kingler, cricket
Mel Moore V, Dewgong, horse
Shawn Cartwright, Kakuna, skunk
Rodger Kshlerin, Chansey, turtle 
Vernia Tremblay, Aerodactyl, goldfish
Mr. Donald Moore, Kabuto, tortoise
Bess Wyman, Bellsprout, buffalo
John McLaughlin, Mankey, rabbit
Patience Hodkiewicz DDS, Rapidash, hare
Adah Wuckert, Weezing, fox
Ms. Miles Goodwin, Metapod, mouse
Dixie Wolf DDS, Farfetch'd, squirrel
Perry Grimes, Pidgey, swan
