Emil Hodkiewicz, Clefairy, lizard
Ernest Rutherford, Jynx, mule
Scott Casper, Porygon, cat
Jamar Kulas PhD, Dratini, cat
Karima Lang, Jigglypuff, macaw
Georgiana Cartwright, Gyarados, eagle
Melvin Gerlach III, Rhydon, frog
Palmer Pfeffer, Rapidash, goldfish
Jamie Hagenes, Staryu, sardine
Charlsie O'Hara, Meowth, cicada
Mario Breitenberg, Poliwag, cheetah
Humberto DuBuque, Parasect, turtle 
Tracy Bode, Nidoqueen, ant
Edward Torp, Cloyster, coyote
Madelyn Keeling, Gyarados, hare
Murray Kovacek, Weepinbell, snake
Tyler Schmitt, Arbok, cricket
Darrel Conn, Oddish, cattle
Emil Howell, Dugtrio, woodchuck
Elliott Ward, Gastly, koala
Billye Parker, Magikarp, fly
Danille Corwin V, Primeape, hound
Ms. Lanell Tremblay, Staryu, gerbil
Dorian Schumm, Mankey, fox
Giovanni Cummerata II, Tauros, kangaroo
Emile Cummings, Machamp, deer
Rossana Paucek IV, Seel, lizard
Sherwood Conn, Raichu, salmon
Orlando Wyman Jr., Horsea, raven
Jacinto Sporer III, Rattata, yak
Ms. Lemuel Friesen, Nidoran, fly
Burma Lehner, Ponyta, raven
Stanley Beatty, Kabutops, hamster
Avis Heaney Jr., Voltorb, bat
Odelia Hartmann, Meowth, camel
Sung O'Reilly DVM, Ditto, mouse
Miss Hilaria Dickinson, Lickitung, gorilla
Craig Cassin, Nidoking, toad
Elbert Kautzer, Mew, porcupine
King Dietrich, Gastly, wombat
Carlos Huels, Ponyta, mule
Cassandra Beatty, Dratini, ant
Booker Koss, Slowbro, elk
Mrs. Delicia Mante, Chansey, badger
Suzie Koepp, Diglett, spider
Elvin Kuhlman, Ivysaur, otter
Milford Satterfield, Hypno, frog
Kari Kertzmann, Articuno, walrus
Jamar Ratke, Cloyster, wildebeest
Jay Crist IV, Onix, hedgehog
