Mr. Michelle Roob, Psyduck, gorilla
Miss Numbers Armstrong, Tentacruel, mink
Gretta Kertzmann I, Machoke, snake
Van Kutch, Hitmonlee, worm
Gita Brakus, Pikachu, hamster
Miss Ismael Jaskolski, Tentacruel, hornet
Dottie Considine, Gastly, camel
Lou Borer, Gyarados, cattle
Timika Stoltenberg, Tentacool, bee
Eloy Gusikowski, Sandslash, kangaroo
Lance Pouros Jr., Beedrill, kangaroo
Lowell Hansen, Beedrill, baboon
Lucie Senger I, Drowzee, woodchuck
William Ward, Snorlax, herring
Diedre Bogan, Staryu, macaw
Dr. Malka Jast, Dragonite, mosquito
Raquel Morissette Sr., Pidgeotto, bear
Cristopher Gusikowski, Golbat, impala
Miyoko Raynor, Cubone, gnu
Sol Smith, Muk, antelope
Merrill Hayes I, Raticate, squirrel
Fletcher Cole, Poliwhirl, crocodile
Mrs. Branden Gibson, Charmander, llama
Vern Hayes, Krabby, serval
Mathilde Boyle III, Omanyte, spider
Ms. Timothy Dare, Victreebel, camel
Louie Ratke DDS, Slowbro, hound
Rene Mayer, Tentacruel, mallard
Miss Sherryl Ruecker, Slowbro, mole
Dr. Ying Herman, Gastly, panda
Cleopatra Klein, Pidgeot, tiger
Ok Weimann, Poliwhirl, horse
Evelyne Fadel, Farfetch'd, giraffe
Bart Harvey, Electabuzz, whale
Preston Dietrich, Raichu, monkey
Miss Hyo Leuschke, Poliwhirl, ferret
Rhett Hagenes, Haunter, beaver
Cordia Lind, Marowak, trout
Mr. Chang Kihn, Ponyta, beaver
Alberto Bartell, Gyarados, mallard
Larita Hammes DDS, Omanyte, guinea pig
Osvaldo Schiller, Zubat, minnow
Johnna Bartell, Ponyta, pug
Vanessa Langworth, Gastly, porcupine
Vern Lueilwitz, Dratini, mosquito
Allen Dickens, Tangela, cicada
Travis Bins, Arbok, caribou
Ms. Bill Cartwright, Diglett, termite
Marilyn Hegmann, Mew, goose
Gilberto West, Drowzee, muskrat
