Ms. Jenell Durgan, Moltres, caribou
Shalanda Kohler, Dodrio, chimpanzee
Virgilio Skiles, Meowth, tiger
Charles Hamill, Geodude, kangaroo
Dot Goldner, Poliwhirl, cheetah
Chia Hintz, Machamp, sardine
Kenton Powlowski III, Squirtle, worm
Dominic Koelpin I, Goldeen, hyena
Mammie Sauer, Machamp, cattle
Sammie Legros, Nidorino, wolf
Kellee Dare III, Dugtrio, rabbit
Edwardo Leffler, Seadra, ox
James Lynch, Onix, raccoon
Mrs. Lyle Haley, Magneton, frog
Norris Trantow, Poliwhirl, sardine
Ms. Jacques Wiegand, Electabuzz, rat
Mrs. Buster Morissette, Sandshrew, camel
Mrs. Tijuana Rippin, Pidgeot, mule
Dr. Jazmine Daugherty, Nidoqueen, alligator
Mrs. Eduardo Greenholt, Marowak, zebra
Melia Zemlak, Magmar, ferret
Andrew Lueilwitz, Magnemite, crocodile
Azzie Rice, Rhyhorn, scorpion
Valene Gulgowski, Exeggcute, hare
Terri Berge, Weezing, turtle 
Cesar Smith, Poliwhirl, impala
Bradly Bode III, Abra, mouse
Del Heller, Dugtrio, hare
Son Schiller, Zapdos, lizard
Antonetta Zemlak, Cubone, water buffalo
Evan Hettinger, Staryu, locust
Guadalupe Cole, Dragonite, fish
Mitchel Romaguera, Lapras, gerbil
Lowell Hirthe, Golbat, sheep
Clarence Reynolds, Marowak, scorpion
Chance Ullrich, Charizard, llama
Josefa Kiehn, Onix, manatee
Ali Parker, Tentacool, trout
Chad Moen DVM, Rapidash, ox
Cecille Dach II, Golbat, kangaroo
Bernie Rolfson, Mankey, alpaca
Kellee Gutmann, Porygon, leopard
Rhett Von, Charmeleon, gerbil
Roxie Trantow, Eevee, lion
Olinda Farrell, Poliwhirl, snail
Dustin Herman, Seel, porpoise
Summer Dietrich, Dewgong, impala
Maggie Flatley, Oddish, serval
Lianne Borer, Articuno, mink
Patricia Kuhn, Snorlax, gnu
