Dong Dach, Farfetch'd, crab
Machelle Bartell, Abra, goldfish
Takisha Zemlak, Omastar, goat
Dane Kris, Bellsprout, cockroach
Mari Borer MD, Weedle, butterfly
Kristle Fadel, Dodrio, goldfish
August Doyle PhD, Mankey, horse
Normand Hansen, Voltorb, crow
Bernie Schmeler, Seadra, giraffe
Calvin White PhD, Machop, coyote
Angelika Marks, Arbok, hyena
Margart Nikolaus, Charmeleon, hedgehog
Jaime Sipes, Jolteon, walrus
Mr. Numbers Volkman, Venonat, hedgehog
Erik West PhD, Omanyte, alpaca
Scarlett Flatley, Exeggutor, raven
Mrs. Shonda Schneider, Muk, goose
Mr. Shira Schuppe, Raticate, gorilla
Tyrone Ruecker, Exeggutor, grasshopper
Mr. Dannie Zieme, Doduo, salmon
Bennie Padberg, Pinsir, leopard
Dorine Mohr Jr., Electabuzz, monkey
Celestine Tillman, Ditto, raccoon
Shirly Shields, Ninetales, serval
Arden Watsica, Lickitung, butterfly
Waylon Schneider III, Nidoqueen, mammoth
Yoko Kuvalis, Marowak, seal
Gerardo Stark, Venonat, beetle
Antonina Moen, Mew, shark
Doreatha Hegmann, Scyther, giraffe
Heath Quigley, Gengar, cricket
Divina Gerlach, Charmander, dog
Jacquelyn Wunsch, Flareon, tortoise
Stevie Cruickshank, Tentacool, jellyfish
Tim Baumbach, Shellder, mink
Bradley Gorczany, Meowth, sardine
Miss Signe Satterfield, Gengar, snail
Arline Heller, Weedle, minnow
Beryl Ernser IV, Golbat, trout
Gerri Zemlak, Eevee, pig
Dr. Harry Hansen, Clefable, hornet
Mrs. Junior Waters, Dugtrio, cat
Eulah Botsford, Articuno, gnu
Rosana D'Amore, Hitmonchan, camel
Rolland Cummings I, Exeggutor, crab
Dr. Meridith Tremblay, Charmander, donkey
Edgardo Smith, Sandslash, dolphin
Tracie Langosh, Rapidash, coyote
Harley Herzog Jr., Staryu, clam
Dr. Deandre Brakus, Victreebel, ox
