Phyliss Cormier Jr., Seadra, sardine
Milan Dickinson I, Hitmonchan, pug
Dr. Ivonne Beatty, Gengar, whale
Dr. Ricki Russel, Persian, cattle
Cherly Halvorson, Dragonair, gerbil
Arlie Frami, Nidoking, macaw
Leigh Schinner, Mankey, duck
Mr. Kizzy Kovacek, Poliwrath, hamster
Diego Hills, Dragonite, otter
Fredia Davis, Kabutops, ape
Deborah Gislason, Starmie, hyena
Gregorio Dicki MD, Scyther, bat
Dr. Victorina Waelchi, Onix, baboon
Linnie Schimmel, Magneton, giraffe
Merlin Wisozk, Gloom, wasp
Ms. Patricia Bahringer, Persian, raven
Jame Walker I, Venusaur, ant
Mr. Wilbert Gottlieb, Paras, hornet
Mrs. German Hoppe, Omanyte, duck
William Blick, Venonat, reindeer
Boyd Kiehn MD, Onix, hare
Ivory Dickens, Machamp, duck
Ms. Cornell Weissnat, Clefairy, cat
Carina Sporer, Chansey, lizard
Cruz Hahn, Jolteon, beaver
German Wyman, Hypno, baboon
Lianne Becker I, Vileplume, tortoise
Jc Cartwright III, Snorlax, pug
Yolande Reynolds, Clefable, cockroach
Pura Altenwerth II, Wigglytuff, llama
Edmund Ledner, Articuno, mouse
Jarvis Waelchi, Parasect, lizard
Marilou Ritchie PhD, Geodude, spider
Angella Mosciski, Weedle, fox
Marvella Beer, Lickitung, yellowjacket
Gustavo Grady, Snorlax, bee
Saul Schuppe, Seaking, monkey
Mary Kertzmann, Onix, water buffalo
Pierre Baumbach Sr., Kabutops, rabbit
Tommy Schumm, Nidorino, ant
Sydney Cormier, Butterfree, coyote
Buford Shanahan, Persian, snail
Valentine McDermott, Tauros, mink
Miranda Waters, Paras, badger
Alejandro Veum II, Jolteon, goose
Miss Mason Barrows, Arcanine, butterfly
Rolf Ebert, Sandslash, prairie dog
Zachery Streich, Omanyte, walrus
Blair Klocko, Tentacruel, lizard
Dave Kerluke III, Charmeleon, mammoth
