Monte Rodriguez, Geodude, squirrel
Myrtice Abshire, Lickitung, giraffe
Melvin Franecki, Abra, swan
Man Jones III, Geodude, koala
Jeneva Moore MD, Dragonair, rat
Gus Hermiston, Raichu, chinchilla
Jaime Gleason, Weepinbell, panda
Dr. Rex O'Conner, Raichu, caribou
Normand Fadel, Nidorina, spider
Mason Nader PhD, Aerodactyl, leopard
Miss Ray Crist, Rhydon, jackal
Eldon Bayer, Golbat, bee
Betsy Rippin, Jigglypuff, jellyfish
Rochelle Kub, Nidorina, beaver
Ike Emard, Dratini, toad
Alonzo Denesik V, Pinsir, koala
Sonny Weimann, Hitmonlee, caribou
Mrs. Lionel Murray, Magmar, sea lion
Erich Fay, Eevee, swan
Harold Yost, Tangela, mallard
Soon Russel, Horsea, bat
Tory Lehner, Charmeleon, antelope
Riley Gutmann, Slowpoke, hippopotamus
Ms. Lisbeth Harris, Butterfree, yellowjacket
Ms. Leatrice Carter, Haunter, porcupine
George Turner PhD, Dewgong, gnat
Abbie Lehner, Golem, kangaroo
Matthew Monahan, Koffing, marten
Damian Skiles, Poliwag, ox
Zulma Parisian I, Kingler, wasp
Young McDermott, Graveler, leopard
Ms. Dominic Anderson, Persian, fly
Margrett Terry V, Nidoking, woodchuck
Hyman Feest DVM, Scyther, mole
Ms. Dewayne Lubowitz, Onix, elephant
Laurette Abbott, Victreebel, crow
Jayme Grady, Magmar, yellowjacket
Mr. Tim Wilkinson, Exeggcute, ant
Mrs. Randal Muller, Kangaskhan, porcupine
Miquel Schimmel, Mankey, cat
Leanne Crist, Nidorina, monkey
Trey Bechtelar, Machop, shark
Dr. Deshawn Krajcik, Tangela, wildebeest
Miss Libby VonRueden, Gloom, clam
Kyle Jones, Exeggutor, minnow
Stanford Legros, Metapod, gorilla
Mrs. Andres Ledner, Dodrio, termite
Jolynn Little, Starmie, lion
Mrs. Allen Ratke, Exeggcute, elk
Lucy Quitzon, Raticate, woodchuck
