Brooks Braun III, Aerodactyl, elk
Tracey DuBuque, Rattata, serval
Vincent Berge, Electrode, woodchuck
Samual Botsford, Hitmonchan, duck
Kyoko Schiller, Omanyte, alpaca
Nannette Hudson, Kakuna, badger
Neil Dare III, Machamp, koala
Milo Gulgowski V, Seadra, horse
Gigi Quitzon, Charmander, sardine
Jada Weissnat, Doduo, jellyfish
Newton Davis, Dugtrio, elk
Cecily Nolan, Mr. Mime, reindeer
Tamika Pfeffer, Marowak, squirrel
Yu Bailey III, Abra, clam
Stella Wiegand, Gengar, armadillo
Milly Hilll, Dratini, mule
Chi Purdy, Ditto, elephant
Robbie Konopelski, Persian, hyena
Ms. Lupe Wisoky, Eevee, goldfish
Ernest Wiegand, Muk, badger
Nichole Bartoletti, Paras, oyster
Mike Russel, Nidoking, guinea pig
Ronnie Kihn, Pidgey, caribou
Irma Daugherty Jr., Alakazam, raccoon
Bryant Halvorson, Persian, spider
Harry Parisian, Omanyte, frog
Onita Franecki, Poliwrath, wolf
Rudy Kessler, Chansey, raven
Linwood Feeney, Seadra, armadillo
Neal Zieme, Omastar, clam
Ms. Alayna Spencer, Kingler, tiger
Laurence Ernser, Poliwrath, mole
Dale Dooley, Zubat, buffalo
Ms. Antione Schamberger, Caterpie, hound
Miss Nicolas Lakin, Arbok, cattle
Mr. Jeanmarie Conn, Weepinbell, salmon
Sherice Sauer, Mankey, fly
Cliff Mills, Raichu, weasel
Rayford Willms, Graveler, otter
Miss Ardelle Gleason, Flareon, water buffalo
Pennie Boyer, Aerodactyl, reindeer
Rob Skiles, Hitmonlee, pig
Roberta Nicolas, Magnemite, cat
Mamie Morar, Jynx, frog
Ms. Hector Yundt, Voltorb, muskrat
Wesley Schuppe, Hypno, wombat
Tory Aufderhar, Poliwrath, baboon
Molly Ratke, Persian, mallard
Dawne Johns, Abra, muskrat
Miss Estelle Reichel, Golduck, cicada
