Stefani Luettgen, Nidoran, chimpanzee
Reynalda Hartmann, Kakuna, clam
Geoffrey Hoppe, Sandshrew, macaw
Elva Funk, Ivysaur, snake
Mrs. Dirk Gutkowski, Ekans, crab
Geoffrey Hammes Jr., Kangaskhan, snake
Miss Ida Shields, Machamp, cicada
Myles Frami Jr., Raticate, shark
Estella Schneider, Poliwrath, alligator
Frederick Blanda, Tentacruel, manatee
Jeanetta Kunde, Rapidash, wasp
Deana Gusikowski, Poliwrath, deer
Lorinda Krajcik, Vaporeon, yellowjacket
Liana Metz DDS, Zapdos, beaver
See Kshlerin, Dragonite, woodchuck
Esta Thompson I, Ninetales, mink
Leanna Kuhlman, Drowzee, louse
Tomi Durgan, Charizard, donkey
Mohammed Padberg, Farfetch'd, hound
Bernice Sporer, Diglett, llama
Burt McLaughlin, Machamp, spider
Miss Clemente Bernhard, Pidgeotto, cod
Lovie Metz, Gastly, ferret
Joette Bernier, Electabuzz, elephant
Natalya Langworth, Dodrio, dog
Grazyna Von, Machoke, moose
Sondra Bahringer Sr., Seaking, minnow
Ms. Markus McGlynn, Pidgeot, gerbil
Wilbur Hauck, Nidoran, hare
Vikki Barton, Haunter, prairie dog
Daron Sawayn, Pinsir, beaver
Mr. Dudley Parisian, Koffing, wasp
Amparo Nicolas, Pidgey, impala
Carly Lebsack, Tangela, mallard
Dominic Funk, Seel, beetle
Aldo Murphy, Nidoran, louse
Maud Koch, Jigglypuff, weasel
Dallas Barton, Machoke, muskrat
Richie Hagenes, Cloyster, wombat
Ms. Ophelia Kovacek, Slowbro, badger
Miss Arnoldo Olson, Spearow, clam
Wallace Gislason, Machop, dog
Merideth Towne Jr., Spearow, mouse
Emmett Schuster DVM, Wartortle, mosquito
Len Daugherty, Cubone, raccoon
Christeen Stamm, Vileplume, gnat
Arla Kreiger, Jynx, shark
Neville Mraz, Tentacool, cricket
Mr. Shyla Rath, Machamp, elk
Dr. Noelia Reynolds, Graveler, spider
