Cindi Schamberger, Dragonair, mole
Lenore Huel, Nidoran, beetle
Ms. Renaldo Kling, Rapidash, cat
Danna Schmeler, Primeape, louse
Josefina O'Keefe IV, Weezing, worm
Jerold Kirlin I, Muk, squirrel
Eryn Rempel, Rhyhorn, impala
Mitch Schimmel, Wigglytuff, yellowjacket
Mrs. Zelda Schmitt, Pinsir, rhinoceros
Toney O'Conner, Nidoqueen, grasshopper
Miss Edmund Ledner, Charmeleon, fish
Asia Pacocha, Eevee, hound
Kelley McKenzie, Parasect, sea lion
Lulu Hilll II, Parasect, gorilla
Jude Howe, Squirtle, mole
Joella Reynolds, Magmar, llama
Ms. Leonarda Rice, Seaking, oyster
Classie Conroy, Charmeleon, rabbit
Mr. Saturnina West, Haunter, lion
Dr. Parker Erdman, Weepinbell, eel
Hailey Howell, Tentacool, elephant
Miss Lesley Schiller, Hitmonchan, muskrat
Louis Watsica Jr., Gengar, crow
Kaitlin Kuphal, Weedle, wasp
Caren Collier Sr., Butterfree, deer
Dr. Ivana Muller, Slowpoke, grasshopper
Julio Gerhold, Kadabra, jackal
Raleigh Langworth, Doduo, pug
Miss Garfield Bode, Pidgeotto, platypus
Maurine Sporer, Pikachu, moose
Tyson Padberg, Butterfree, weasel
Rory Bernier, Pikachu, reindeer
Corey Muller, Slowbro, goldfish
Maude Monahan, Horsea, deer
Carly Casper, Parasect, gerbil
Mrs. Zonia Graham, Dragonair, dolphin
Miss Jeanmarie Ankunding, Moltres, snake
Weston Kreiger DDS, Horsea, horse
Santos Reilly, Muk, horse
Jody Durgan, Grimer, sheep
Arlene Boyle, Staryu, macaw
Gerry Sipes, Onix, dolphin
Haley Yost Jr., Omanyte, giraffe
Tamisha Feil, Fearow, hornet
Ms. Xavier Haag, Butterfree, termite
Robert Kassulke, Charmeleon, chinchilla
Lyle Lebsack, Slowpoke, impala
Darleen Flatley, Doduo, macaw
Ralph Dickens, Golem, tortoise
Merrill Armstrong, Dewgong, fox
