Russ Sporer, Jigglypuff, platypus
Chase Rempel I, Tauros, yak
Gerard Hane, Hypno, badger
Jimmie Hermiston, Magneton, salmon
Dr. Theo Pollich, Nidorina, beaver
Benito Dooley, Slowbro, ape
Casey Little, Aerodactyl, wolf
Ione Conn, Persian, minnow
Granville Waters, Kabuto, snake
Gerard Quitzon, Moltres, hippopotamus
Kory Powlowski, Psyduck, skunk
Preston Walter MD, Ditto, monkey
Dr. Carlton Gusikowski, Rhyhorn, hippopotamus
Sha Kub DVM, Tangela, mallard
Dr. Elsy Rau, Kadabra, crab
Lila Pfannerstill, Magmar, hedgehog
Colin Price, Chansey, frog
Miss Cierra Steuber, Farfetch'd, swan
Bailey Gutkowski, Dugtrio, sheep
Stella Kiehn, Charmander, rhinoceros
Kyoko Hickle, Staryu, wombat
Ronnie Nitzsche V, Fearow, mallard
Cliff Pollich, Dugtrio, porcupine
Caridad Yundt, Vaporeon, cricket
Layla Bailey, Geodude, bee
Albina Davis, Oddish, guinea pig
Carlos Crooks, Clefable, wasp
Lane Lockman, Ninetales, hedgehog
Oscar Padberg Sr., Tangela, badger
Lilia Beahan, Machoke, porcupine
Donnette Shanahan, Starmie, minnow
Darrel Lynch, Weepinbell, cricket
Craig Labadie, Nidorino, ferret
Allyson Goodwin, Cubone, grasshopper
Joslyn Pagac, Hitmonchan, squirrel
Carmine Rohan V, Mewtwo, gorilla
Mr. Merrill Gulgowski, Mankey, giraffe
Ms. Huey Emmerich, Pinsir, crocodile
Lanora Block, Pinsir, spider
Erma Hilpert, Metapod, prairie dog
Ozella Rutherford PhD, Tauros, platypus
Miquel Raynor Jr., Growlithe, gorilla
Maryln Wuckert, Psyduck, goose
Herb Ward, Kangaskhan, badger
Roxanna Connelly, Aerodactyl, donkey
Quintin Sawayn II, Persian, dog
Ozzie Wyman III, Rapidash, elephant
Renita Jones, Moltres, pug
Mrs. Simonne Wintheiser, Gastly, termite
Donnie Powlowski, Mewtwo, elephant
