Kent Collier, Zapdos, gnu
Louis Bradtke, Charizard, salmon
Arnoldo Heidenreich, Articuno, trout
Michel Spinka, Marowak, beetle
Sybil Moen Jr., Snorlax, cattle
Mrs. Xavier Kilback, Tentacool, ferret
Forrest Runolfsdottir, Machamp, zebra
Heidy Conn, Dodrio, seal
Celestina Trantow, Drowzee, wildebeest
Dr. Brandie Walker, Kingler, deer
Selina Conn, Golbat, cattle
Cory Mertz, Venonat, baboon
Ming Jacobi, Kingler, jellyfish
Ms. Denver Sporer, Vileplume, cicada
Mr. Nobuko Hudson, Pikachu, shark
Ozell Gerlach, Kabutops, camel
Antonette Ebert Jr., Rattata, deer
Norene Jast PhD, Kabutops, baboon
Roxana Leffler, Doduo, sea lion
Theresia Schoen, Kadabra, jackal
Ms. Ezequiel McKenzie, Ivysaur, donkey
Alexis Ledner, Magmar, clam
Celesta Gleason, Kakuna, mouse
Jamila Christiansen, Sandslash, wallaby
Mr. Reynaldo Herman, Machamp, lizard
Jose Schmeler I, Jynx, fox
Kimberlie Will, Primeape, porpoise
Marcellus Kihn, Nidorina, wolf
Janita Cronin I, Exeggcute, snake
Anjelica Boyer, Golduck, crab
Dr. Dean Kris, Bulbasaur, louse
Major McGlynn, Oddish, ant
Chad Gulgowski, Ekans, tortoise
Dr. Napoleon Kunze, Jynx, manatee
Samual Sauer, Graveler, raven
Keva Corkery, Arbok, spider
Hector Ward, Rhyhorn, llama
Connie Braun, Seaking, herring
Olin Williamson II, Persian, fish
Yanira Kemmer, Haunter, panda
Dr. Miles Gusikowski, Gloom, alpaca
Louisa Bechtelar, Golduck, wombat
Ms. Wyatt Schowalter, Muk, mosquito
Terrance Corwin, Machamp, tortoise
Chadwick Bayer, Magneton, yak
Bertram Kiehn, Kakuna, pig
Soo Crooks, Dragonite, dog
Gudrun Prohaska, Horsea, guinea pig
Mrs. Macie Douglas, Marowak, snail
Kenneth Boyle, Muk, scorpion
