Tanja Kozey Jr., Golem, badger
Buddy Bogisich, Dragonair, duck
Bobette Hickle DDS, Flareon, otter
Aundrea Bergstrom, Kabuto, rat
Ivy Schumm, Parasect, rabbit
Stephaine Christiansen, Machoke, coyote
Britt Maggio Jr., Diglett, otter
Willie Koch, Machop, armadillo
Young Wiza, Meowth, moose
Debroah Baumbach DVM, Weepinbell, termite
Isaac Yundt, Farfetch'd, gorilla
Raelene Jenkins, Rattata, gnat
Ashanti Upton, Articuno, horse
Romelia Lubowitz, Wigglytuff, macaw
Willis Robel, Jigglypuff, toad
Minnie O'Keefe, Kabutops, deer
Arron Lang DDS, Growlithe, spider
Eulah Thiel, Porygon, koala
Verla Farrell, Drowzee, moose
Carroll Hettinger, Slowpoke, ape
Miss Lelah O'Keefe, Dragonair, eel
Basil Greenholt, Doduo, sea lion
Miss Denisha Casper, Moltres, kangaroo
Emmaline Casper, Dragonair, koala
Temeka Lindgren, Graveler, fly
Hermina Cole DDS, Magikarp, whale
Elanor McLaughlin, Geodude, gnat
Shira Crist, Ditto, elk
Carmen Hammes, Voltorb, chinchilla
Ulysses Sanford DDS, Cloyster, panda
Bud Rath, Articuno, llama
Mac Doyle III, Hitmonchan, wildebeest
Kim Stiedemann, Kangaskhan, jackal
Salvador Walter, Nidoran, macaw
Garnett Hudson, Machop, mule
Ms. Antoinette Cremin, Exeggcute, elephant
Angeles Abbott, Mew, swan
Delinda Beatty, Staryu, yellowjacket
Miss Eilene Schimmel, Snorlax, herring
Annelle Stokes V, Omastar, porcupine
Duane Conn, Tauros, pig
Hulda Yundt V, Gengar, sea lion
Sammy Lindgren, Dragonair, toad
Lupe Lockman, Kakuna, pug
Eartha Grady DVM, Pinsir, termite
Conception Considine, Sandslash, mosquito
Hiedi Schuppe, Kabutops, walrus
Giselle Upton, Sandshrew, mouse
Xenia Dickens PhD, Golduck, ox
Tamela Steuber IV, Seaking, wolf
