Leon Doyle IV, Ekans, seal
Gracia Wisoky, Vulpix, mole
Miss Elvin Torphy, Snorlax, reindeer
Sparkle Lakin, Gloom, goldfish
Mr. Solomon Williamson, Electrode, buffalo
Branden McLaughlin Jr., Machop, hedgehog
Emanuel Marvin, Pidgeotto, deer
Fletcher Larson, Bulbasaur, goat
Mr. Donte Mayert, Doduo, termite
Enrique Cummings, Wigglytuff, herring
Lezlie Senger, Tentacruel, mouse
Dr. Dottie Ward, Blastoise, cattle
Deandre Douglas, Victreebel, horse
Elanor King, Golduck, mammoth
Gerard Legros, Haunter, goose
Long Gibson PhD, Exeggcute, mole
Dr. Zelma Pagac, Horsea, porpoise
Ozella Schaefer, Mew, eel
Dr. Stanton Durgan, Kingler, gnu
Marylyn Franecki III, Starmie, hedgehog
Latina Cremin, Dragonair, dolphin
Hassie Rolfson, Charmeleon, tiger
Jaimee Bruen, Rapidash, tortoise
Otto Bogan, Poliwag, mouse
Maribel Bergnaum, Parasect, shark
Daryl Auer, Zubat, baboon
Magnolia Lubowitz, Machamp, koala
Miss Shirleen Hagenes, Wartortle, badger
Valentine Dicki, Rattata, snake
Fredericka Feil, Pinsir, worm
Mayme Metz, Slowpoke, mammoth
Miss Edison Grady, Magneton, worm
Julian Roberts II, Mr. Mime, wasp
Abraham Reilly Jr., Tauros, turtle 
John Kassulke, Fearow, koala
Ellis Mosciski, Pidgeotto, ferret
Sau Davis, Parasect, beaver
Millie McLaughlin, Voltorb, prairie dog
Tomoko Roob, Krabby, mouse
Mr. Rosie Wintheiser, Metapod, goat
Kecia Stiedemann, Magmar, worm
Rosaura Toy, Persian, beetle
Theo Ledner, Arbok, koala
Waylon Harris I, Ditto, gorilla
Miss Malika Homenick, Venusaur, wildebeest
Andrea Skiles, Jynx, yak
Erin Hagenes, Dragonair, porpoise
Carmelo Swift, Hitmonlee, locust
Forrest Gutmann, Ditto, gorilla
Georgianne Sawayn, Seadra, porpoise
