Marin Morissette, Rapidash, snail
Jody Luettgen PhD, Hitmonlee, chimpanzee
Fatimah Nienow, Slowbro, weasel
Kimi Greenholt MD, Voltorb, wasp
Ms. Josh Fritsch, Kadabra, skunk
Rory Braun, Electrode, swan
Jackeline Hickle, Mewtwo, hare
Gayle Davis, Growlithe, hornet
Lavelle Kilback III, Pidgey, beetle
Elwood Abbott, Poliwhirl, bat
Miss Virgen Streich, Slowbro, eagle
Armand Green, Pidgeotto, louse
Franklin Schmeler, Farfetch'd, bat
Mrs. Lincoln Dibbert, Poliwhirl, wolf
Jamel Blick, Spearow, salmon
Lenny Hegmann, Haunter, impala
Matilde Cassin, Goldeen, cod
Vivan Zboncak DVM, Meowth, trout
Lillia Haag, Snorlax, donkey
Porter Powlowski, Porygon, cockroach
Mrs. Jodie Auer, Poliwrath, cricket
Albertine Schmeler, Staryu, fly
Latashia Hegmann, Gloom, ape
Leslie Adams II, Lapras, caribou
May Jones, Gengar, walrus
Derick Osinski, Lapras, wallaby
Trudie Mosciski V, Jigglypuff, gnu
Ms. Nigel Kihn, Lapras, hornet
Hosea Connelly, Tangela, mammoth
Delia Cronin, Koffing, dolphin
Renna Greenholt, Moltres, toad
Josef Larkin, Geodude, spider
Tommy Smith, Mr. Mime, hare
Fawn Donnelly II, Eevee, goldfish
Mrs. Tenesha Bashirian, Metapod, caribou
Etsuko Swaniawski, Slowpoke, clam
Christian Hackett, Cloyster, hamster
Aisha Wilderman, Exeggutor, fish
Laurence Jones, Seaking, chinchilla
Mrs. Tosha Hilll, Caterpie, cockroach
Roderick Legros, Meowth, cicada
Lisbeth Kerluke, Oddish, impala
Miss Johnetta Fahey, Arbok, wasp
Bart Collins, Horsea, bear
Denna VonRueden Jr., Pidgeot, ox
Ms. Lina Glover, Exeggcute, bat
Harold Koelpin, Fearow, hound
Mrs. Melodee Quigley, Hypno, beaver
Keesha Rutherford MD, Golem, alpaca
Mrs. Charlyn Ryan, Abra, grasshopper
