Merna Prosacco, Haunter, eel
Miss Shandra Macejkovic, Caterpie, snail
Lakenya Barrows Sr., Machoke, crow
Jerald Powlowski DDS, Marowak, caribou
Miss Belia Gerhold, Starmie, turtle 
Ms. Jamey Luettgen, Rattata, muskrat
Blair Bahringer, Muk, lion
Hiedi Cummerata, Magneton, locust
Mrs. Alexander O'Kon, Golbat, sheep
Mariano Beier, Electrode, gnat
Ellie Block, Tentacruel, sea lion
Ramiro Ledner, Arbok, moose
Darius Klocko, Hitmonchan, snake
Barbie Wolff Sr., Voltorb, dolphin
Dee Kilback, Lapras, wombat
Mr. Haywood Sipes, Dratini, crab
Mrs. Lonnie Larkin, Marowak, seal
Merlyn Doyle III, Electrode, wombat
Shiloh Huels, Victreebel, locust
Celina Ebert, Seaking, ape
Caleb Cole V, Nidoran, porcupine
Jacinta Collins, Abra, alligator
Teena Howe, Venusaur, reindeer
Aisha Langworth, Mewtwo, impala
Bell Bednar, Magikarp, prairie dog
Yolanda Christiansen, Tentacruel, lizard
Javier Smith, Mankey, bear
Dan Lowe, Exeggcute, squirrel
Mrs. Victoria Haley, Arcanine, walrus
Keturah Schiller, Voltorb, jackal
Johnny Gislason, Zubat, eagle
Mrs. Nilda Bauch, Fearow, pig
Jami Grant, Magneton, deer
Jamar Lesch, Raticate, duck
Chase Kshlerin, Paras, prairie dog
Dr. Lucie West, Golduck, goldfish
Chun Nitzsche Jr., Eevee, snail
Ai Johns, Growlithe, goat
Gail Streich, Rattata, porcupine
Lamar Cruickshank II, Tangela, clam
Ms. Idalia Wehner, Omastar, cattle
Mohamed Glover, Venomoth, ant
Mrs. Earlean Hansen, Bellsprout, porcupine
Ethan Herzog PhD, Magikarp, hamster
Christel Frami, Grimer, elk
Mrs. Lillia Mann, Nidorina, hyena
Mirella Leannon, Nidorino, wasp
Margart Haag, Weedle, cat
Azalee Wiza PhD, Magnemite, rhinoceros
Ms. Regan Fisher, Gloom, herring
