Oswaldo Goldner IV, Raticate, yellowjacket
Dr. Lucien Rath, Venusaur, scorpion
Samella Ratke, Caterpie, woodchuck
Milagro Schulist, Dratini, hound
Moshe Schmitt MD, Pidgeotto, elk
Kemberly O'Conner, Mankey, goose
Cory Lind DVM, Flareon, worm
Ms. Kiana Dietrich, Porygon, goldfish
Cammie Gottlieb, Psyduck, raven
Pamela Block, Raichu, water buffalo
Roland Nolan, Wigglytuff, wombat
Arlen Schneider, Nidoqueen, dinosaur
Karl Gusikowski I, Zubat, weasel
Ms. Melda Lockman, Venusaur, squirrel
Dr. Jeanie Bruen, Onix, mammoth
Olin Schulist, Chansey, mallard
Charmaine Nienow, Vileplume, camel
Haywood Trantow, Charmeleon, armadillo
Tasia Runolfsson, Rapidash, goldfish
Kara Braun, Kadabra, gnat
Val Williamson, Fearow, dog
Ashlea Gottlieb, Rhydon, tiger
Maria Howell, Dewgong, reindeer
Bobbi Lehner PhD, Chansey, hamster
Ms. Ricardo Heathcote, Venusaur, cat
Gemma Satterfield IV, Nidoqueen, gnu
Raymonde Treutel, Sandslash, koala
Ms. Shaunda Gleichner, Venonat, snail
Josefina Reinger, Weedle, mouse
Moises Kohler, Chansey, hound
Ezekiel Mitchell, Onix, minnow
Jeremiah McClure, Onix, yak
Loris Bergstrom, Pikachu, armadillo
Flo Reichel, Slowpoke, louse
Denny Schneider, Slowpoke, toad
Annie Schmitt, Aerodactyl, hamster
Roselle Stokes, Sandshrew, raven
Miss Benton Adams, Sandshrew, badger
Takako Rath, Machop, woodchuck
Graham Hoppe, Dragonair, coyote
Veta Hand, Psyduck, wasp
Olen McCullough PhD, Eevee, cod
Kyla McCullough, Slowpoke, wallaby
Sterling Haag, Rapidash, deer
Salvatore Shields, Dragonite, panda
Merissa Parker, Koffing, cod
Numbers Gerhold, Raticate, gerbil
Soila Brakus, Seadra, minnow
Meridith Morar, Growlithe, termite
Chris Runolfsson, Golduck, trout
