Brett Carroll, Machoke, yellowjacket
Ms. Kieth Koss, Weezing, muskrat
Kerry Graham, Bellsprout, monkey
Elvera Brown, Nidoran, weasel
Janelle Nader, Haunter, buffalo
Fabian Dickinson, Rhyhorn, cricket
Cedric Barton, Goldeen, mink
Gretta Williamson, Oddish, bear
Ellis Schroeder, Horsea, muskrat
Brigitte Wilderman, Kabuto, badger
Miss Dorinda Russel, Poliwrath, herring
Fransisca O'Reilly, Alakazam, gnat
Kali Hamill, Rattata, panda
Azzie Lowe, Grimer, salmon
Carley Collier, Ponyta, leopard
Latoria Bosco, Pidgey, bear
Marissa Kuphal, Doduo, seal
Natosha Nienow, Pikachu, horse
Jamison Abernathy, Slowbro, crocodile
Jasper Herzog, Seel, walrus
Mel Jones, Zapdos, shark
Glinda Borer, Fearow, fox
Mrs. Prince Rau, Weezing, bear
Alicia Wunsch I, Jolteon, tiger
Kareem Kohler, Tangela, kangaroo
Lauralee Sanford, Seadra, guinea pig
Dreama Runolfsdottir, Raticate, bat
Henrietta Windler, Electrode, zebra
Flavia Denesik III, Weezing, chinchilla
Wilfred Reynolds, Gyarados, locust
Ms. Oliva Erdman, Shellder, spider
Lorelei Mante, Charizard, llama
Kali DuBuque II, Charmeleon, chimpanzee
Tracy Wunsch, Clefairy, alligator
Joellen Bartell, Gyarados, otter
Miss Emelia Stracke, Tentacool, grasshopper
Mrs. Arlen Koepp, Charmeleon, dog
Graig Orn, Magikarp, wallaby
Johnnie Wyman, Machoke, mink
Leonie Hoeger, Pidgeotto, mink
Magaret Lebsack, Weepinbell, donkey
Dr. Darren Beer, Dratini, cheetah
Mr. Rubie Effertz, Beedrill, louse
Mrs. Georgianne Russel, Gengar, crocodile
Nathaniel Bailey, Graveler, oyster
Ms. Son Mayer, Krabby, hamster
Mr. Fritz Schumm, Starmie, coyote
Delmar Konopelski, Tentacruel, giraffe
Curtis Gerlach, Nidoran, crow
Minnie McDermott, Golduck, beetle
