Myles Jaskolski, Bulbasaur, badger
Violeta Farrell, Ponyta, hornet
Stanton Bradtke, Machop, giraffe
Bert Russel Sr., Butterfree, rhinoceros
Arlen Treutel, Hitmonchan, walrus
Dr. Billy Larkin, Jynx, eagle
Rafael Breitenberg, Diglett, camel
Wilmer Tremblay, Kadabra, goldfish
Lindsey Feeney, Sandslash, llama
Miss Hugh Beer, Mankey, sardine
Mrs. Michael Thiel, Flareon, elephant
Jan Carroll, Rhyhorn, impala
Dr. Douglas Borer, Hitmonlee, moose
Fausto Kuhic MD, Voltorb, alligator
Hassan Turcotte, Lickitung, llama
Carmon Gerlach, Poliwrath, porpoise
Alva Dickinson, Slowbro, clam
Mrs. Adrian Zulauf, Pidgeotto, louse
Isa Koss V, Chansey, alligator
Saul Kutch, Sandshrew, bear
Santina Koch, Raichu, macaw
Isiah Will, Dodrio, porpoise
Jamal Beier, Electrode, fly
Ms. Palmira Kozey, Magikarp, mink
Darcy Swaniawski, Victreebel, prairie dog
Ms. Clark Braun, Weezing, reindeer
Damon Stoltenberg, Nidoran, jellyfish
Robbin Rowe, Porygon, sheep
Jerrod Goldner, Muk, cockroach
Oliver Koch IV, Tentacruel, wallaby
Rubi Wiza, Gastly, macaw
Corina Ruecker, Jynx, duck
Mr. Echo Casper, Tauros, leopard
Etsuko Bosco, Slowbro, fish
Erline Carroll, Chansey, mole
Miss Hilde Hagenes, Raichu, hyena
Mrs. Gregory Welch, Dragonair, porcupine
Jessie Paucek, Cubone, seal
Dr. Valentine Kozey, Rhydon, hound
Carrol Ratke PhD, Butterfree, coyote
Lana Von, Scyther, jackal
Albertha O'Kon, Magmar, raccoon
Nena Zemlak, Caterpie, kangaroo
Jarrod Huel, Bellsprout, cheetah
Yanira Jakubowski, Porygon, macaw
Mrs. Herbert Feeney, Flareon, mink
Lorina Blanda MD, Electrode, bat
Bibi Hermiston, Tentacool, spider
Anh Lesch, Magnemite, porcupine
Yuette Fisher, Parasect, turtle 
