Reid Jerde, Shellder, toad
Debra Huels V, Aerodactyl, lizard
Frederick Schamberger, Sandshrew, goat
Steven Balistreri, Seaking, donkey
Keven Leffler, Exeggutor, raccoon
Colby White, Tentacruel, deer
Ms. Vinnie Weimann, Sandshrew, snail
Percy Kuvalis, Golem, cattle
Denisha Barton, Mewtwo, porpoise
Anya Stokes I, Ekans, yellowjacket
Mrs. Jamaal Schroeder, Dodrio, frog
Latrina Swift, Doduo, snake
Mrs. Russel Wyman, Butterfree, skunk
Maxie Morissette, Mankey, squirrel
Arthur Cummerata Sr., Grimer, raccoon
Kennith Hintz MD, Moltres, herring
Jonna O'Reilly V, Pikachu, goat
Luanne Beahan, Ivysaur, jellyfish
Vance Denesik, Electrode, oyster
Ms. Doloris Corwin, Drowzee, crocodile
Tracey Corwin, Nidoran, elk
Mr. Sean Bruen, Nidoran, goose
Loriann Rath DVM, Golduck, hedgehog
Emile Bashirian, Lickitung, elk
Meaghan Weber, Kabutops, reindeer
Annis Considine, Poliwag, mole
Courtney Reynolds I, Poliwag, sea lion
Marcelene Brekke, Charizard, lizard
Angel Weissnat, Mr. Mime, gerbil
Mrs. Kenny Lang, Koffing, mink
Travis Hessel, Arcanine, crow
Mrs. Felisha Larkin, Exeggutor, squirrel
Jorge Ortiz, Beedrill, frog
Arminda Kohler Jr., Kabutops, ant
Marc Prohaska, Abra, bear
Mickey Wintheiser, Porygon, macaw
Cheryl Abernathy, Pikachu, alpaca
Odell Kub, Clefairy, cattle
Oscar Lowe, Raticate, hornet
Noel Cruickshank, Kabutops, locust
Clifton Konopelski, Arcanine, butterfly
Kermit Bashirian PhD, Jigglypuff, otter
Parthenia Fadel PhD, Geodude, prairie dog
Nolan Gutkowski DVM, Charmander, cod
Reanna Weissnat, Electrode, mallard
Mrs. Rossie Paucek, Pinsir, ant
Adriane Romaguera IV, Mew, trout
Mahalia Reichel II, Vaporeon, gnu
Louanne Gottlieb, Sandshrew, hedgehog
Miss Cordelia Wuckert, Articuno, deer
