Davis Connelly, Clefairy, manatee
Darin Tromp, Dewgong, sheep
Jeremiah Ledner, Rapidash, raccoon
Earl Reynolds, Onix, raven
Nieves Emard IV, Nidoran, hyena
Mr. Luisa Upton, Primeape, yak
Carmelo Swift, Tauros, alligator
Edmond Leuschke PhD, Slowbro, swan
Young Jacobs, Squirtle, manatee
Bulah Fadel, Pinsir, termite
Dinah Huels, Poliwrath, eagle
Buddy Will IV, Pinsir, monkey
Mr. Victor Fadel, Ekans, cheetah
Danilo Bergnaum III, Wartortle, crow
Lonny Dibbert V, Dragonair, panda
Alisia Ruecker, Vaporeon, beaver
Timmy Lehner MD, Dugtrio, mouse
Mr. Irving Hegmann, Ekans, pig
Mrs. Stuart Kihn, Hitmonlee, otter
Dr. Antonio Conn, Voltorb, termite
Irvin Zemlak Jr., Caterpie, mouse
Jefferey Walsh II, Gyarados, cicada
Anthony Hauck, Poliwag, sardine
Ms. Edra Hayes, Zapdos, wasp
Clarence Nicolas, Scyther, pug
Eddy Waelchi III, Rattata, lion
Darnell Abshire, Venusaur, horse
Stan Swift, Ponyta, yellowjacket
Gerald Robel, Hitmonlee, panda
Kamala Reilly, Graveler, yak
Mohamed Weissnat, Arcanine, frog
Daryl Hayes, Mewtwo, trout
Carline Ward, Horsea, swan
Lewis Hauck, Poliwrath, trout
Epifania Franecki, Jolteon, pig
Kory Jast V, Mankey, jellyfish
Phebe Crist, Snorlax, bear
Mari Stokes, Ninetales, caribou
Carissa Murazik, Magmar, wallaby
Santos Bahringer V, Snorlax, fish
Cristen Hoppe, Onix, elephant
Nathan Quigley, Gastly, eel
Erick Kassulke, Krabby, louse
Wilber Funk, Dugtrio, alpaca
Evangeline Hahn Jr., Metapod, hedgehog
Bobbi Walker, Mr. Mime, lizard
Gertha Weimann, Machoke, cod
Jan Boehm, Raticate, pig
Cyril Collier, Machamp, macaw
Syble Jakubowski, Venusaur, minnow
