Alton Macejkovic, Poliwhirl, spider
Miss Shirlee McDermott, Seaking, bat
Ellan Gusikowski, Tauros, cattle
Lakesha Collins, Magikarp, sardine
Carlton Yost, Gyarados, prairie dog
Rosella Hahn, Sandslash, walrus
Lelah Miller PhD, Exeggutor, caribou
Terrilyn Jacobi, Mankey, clam
Loretta Haley, Oddish, camel
Erik D'Amore MD, Krabby, wasp
Walter Gislason, Magnemite, bat
Gail Lang, Magikarp, wasp
Solomon Hartmann, Alakazam, crocodile
Wesley Batz, Nidoqueen, oyster
Wilton Wolff, Rattata, ox
Mrs. Douglas Bogisich, Starmie, hedgehog
Miss Kassandra Mayer, Voltorb, gorilla
Ms. Olen Tremblay, Slowpoke, herring
Lavera Langosh, Eevee, squirrel
Rebekah D'Amore, Onix, jellyfish
Christopher Schneider, Parasect, water buffalo
Tonja Daugherty III, Aerodactyl, cat
Luther Frami, Ponyta, hamster
Mathew Bernhard DDS, Blastoise, deer
Wilburn Streich, Golduck, raven
Shaun Conn, Snorlax, giraffe
Cheree Streich, Gloom, badger
Pablo Bergstrom, Machop, shark
Mrs. Frances Reilly, Growlithe, wolf
Camila Shanahan, Moltres, ant
Samual Walker, Shellder, fly
Arturo Champlin, Ninetales, camel
Duane Deckow, Pidgeot, wolf
Efren Bartoletti, Paras, cod
Mrs. Estella Volkman, Jynx, buffalo
Exie Quigley, Venonat, wildebeest
Jonas Langworth, Arcanine, elk
Santos Jacobs, Hitmonchan, dinosaur
Meta Wehner, Nidorino, buffalo
Del Fritsch, Voltorb, serval
Mrs. Huey Wyman, Gyarados, goldfish
Edda O'Reilly, Seaking, raccoon
Miss Ronna Bechtelar, Dugtrio, leopard
Mr. Joan Hilll, Bellsprout, oyster
Fred Gislason, Kabuto, cockroach
Elisha Stiedemann, Caterpie, reindeer
Ms. Steve Schiller, Pikachu, fly
Lane Mueller, Jolteon, hippopotamus
Merle Haag, Kingler, mink
Benito Feeney, Onix, hound
