Brandon Walsh DDS, Vaporeon, minnow
Curtis Heathcote, Magmar, gerbil
Dr. Brigette Reynolds, Machamp, goat
Jeanett Ritchie, Seel, rhinoceros
Mr. Racheal Dibbert, Squirtle, dinosaur
Valentin Konopelski, Wartortle, raccoon
Londa Shields, Nidorina, alligator
Rubye Lowe DVM, Tentacruel, panda
Efrain Mann, Seaking, spider
Mr. Chu Will, Scyther, hound
Alix D'Amore, Charizard, turtle 
Blair Grady, Onix, snake
Kittie Metz, Metapod, turtle 
Danyel Collins, Zubat, frog
Anjanette Abbott, Pinsir, serval
Chase Balistreri MD, Metapod, panda
Reiko Lehner, Magikarp, woodchuck
Maribeth Bergnaum, Tangela, camel
Cletus Fadel, Magnemite, alpaca
Nikole Marks, Persian, tortoise
Tatiana Hegmann Jr., Venomoth, lion
Emmett Zboncak V, Fearow, squirrel
Earl Ratke, Golduck, toad
Shara Skiles, Goldeen, cheetah
Brad Fisher, Lapras, guinea pig
Kenton MacGyver, Weedle, elk
Jayson Gottlieb, Kadabra, buffalo
Lavonda Friesen, Ponyta, alligator
Bert Dicki, Magnemite, guinea pig
Dr. Pok Brekke, Horsea, donkey
Miss Alla Hammes, Gengar, rabbit
Haydee McDermott, Lapras, rat
Linn Swaniawski, Kingler, porcupine
Dr. Patrick Torphy, Vulpix, mole
Bertie Bernier, Moltres, wombat
Andrew Dare, Nidoqueen, antelope
Shanell Armstrong, Mankey, louse
Micha Prohaska, Ivysaur, seal
Katelin Welch Sr., Primeape, panda
Kris Corkery, Jigglypuff, horse
Clement Dooley, Omastar, mosquito
Rodney Lakin MD, Farfetch'd, hornet
Zana Schultz, Vileplume, weasel
Tristan Romaguera, Tauros, ant
Dr. Myrtice Herzog, Magneton, bee
Sung Kertzmann, Nidoran, duck
Merry Ondricka, Charmander, scorpion
Ciara Bahringer, Squirtle, snake
India Grady, Clefable, goat
Shani Schmidt, Paras, rabbit
