Lacy Pacocha, Tauros, antelope
Kurtis Larson, Pikachu, manatee
Bruce Purdy DDS, Dragonite, crow
Leonardo Rath Jr., Machoke, hyena
Mrs. Silas Lockman, Nidorina, kangaroo
Laurine Gerlach, Abra, sardine
Ms. Wes Reichert, Geodude, deer
Jess Lesch DDS, Seaking, squirrel
Ned O'Reilly, Venusaur, dinosaur
Jake Russel, Drowzee, mink
Miss Roxy Quitzon, Goldeen, beaver
Leonel Davis V, Omanyte, mosquito
Felipe Jacobson, Parasect, goose
Tamala Runolfsdottir Jr., Persian, chinchilla
Kris Kirlin, Fearow, pig
Francine Mitchell DDS, Weepinbell, cat
Enola Botsford V, Kadabra, goose
Mrs. Tempie Bergnaum, Machop, fox
Ira Vandervort, Porygon, tortoise
Halina Klein, Weezing, yak
Jaclyn Schroeder, Butterfree, goose
Rebeca Goldner, Geodude, donkey
Chung Hagenes, Victreebel, caribou
Trudi Emard Sr., Machop, macaw
Nichelle Zboncak, Diglett, moose
Chante Reichert, Grimer, rat
Yaeko Nikolaus, Raticate, mole
Amparo Turner, Magnemite, dog
Fidelia Hudson, Venonat, herring
Nellie Johnston Jr., Zapdos, sheep
Maud Wintheiser, Hypno, leopard
Sophia Hickle, Dragonite, badger
Louella Jacobs, Seadra, rhinoceros
Susy Rogahn, Golbat, leopard
Miss Lon Kuhlman, Jynx, water buffalo
Shantelle Funk, Sandshrew, shark
Arielle Ritchie, Rhyhorn, lion
Gary O'Hara I, Gengar, deer
Russ Dare, Butterfree, tiger
Cameron O'Reilly, Machop, weasel
Wilmer Murray, Farfetch'd, shark
Le Satterfield I, Magmar, raven
Miss Jame Carroll, Fearow, oyster
Delmar Marvin, Golbat, otter
Rey Ankunding, Ponyta, beetle
Randy Carter, Hitmonchan, rhinoceros
Dwain Weber, Venonat, gerbil
Marshall Paucek, Jolteon, badger
Gema Toy, Jigglypuff, caribou
Porfirio Rohan II, Golem, goat
