Miss Mark Moore, Machamp, rabbit
Janeen Zieme, Snorlax, crocodile
Elke Orn, Poliwrath, dolphin
Rogelio Lebsack, Porygon, crow
Wally Brakus, Electrode, chinchilla
Santos Zieme, Drowzee, louse
Charlyn Tremblay, Cubone, porpoise
Rhonda Hammes, Rhyhorn, macaw
Jennine Fisher, Blastoise, skunk
Beatrice Schmeler, Jolteon, porpoise
Gerard Grant, Rhydon, scorpion
Robt Gislason DDS, Gloom, dolphin
Filiberto Bosco, Gengar, macaw
Caleb Lakin, Machoke, alligator
Mendy Heaney, Mr. Mime, dolphin
Son Maggio, Pidgey, moose
Carley Jakubowski, Seel, scorpion
Rudy Jast, Kabuto, bee
Janine Crona, Gengar, fox
Leon Howe, Mankey, cod
Shenna Little, Paras, dog
Bonnie Dach, Omastar, swan
Miss Grover Friesen, Lickitung, mallard
Mr. Alpha Legros, Alakazam, hippopotamus
Ron Batz, Kabuto, baboon
Genevie White, Pidgeotto, zebra
Zackary Keeling, Nidoran, raven
Kendal Windler, Zubat, gnu
Jefferson Moen, Zubat, cat
Colette Ferry, Porygon, buffalo
Ouida Goyette, Magneton, yak
Harvey Parker, Electabuzz, elephant
Quentin Schuster, Doduo, baboon
Lona Volkman, Tauros, louse
Ulysses Predovic IV, Weezing, baboon
Conrad Daugherty, Ninetales, crab
Owen Bernier V, Bulbasaur, dinosaur
Pamila Koelpin, Pidgeot, wasp
Magaret Sporer, Golduck, mule
Ernestina Rosenbaum, Golbat, herring
Jenniffer Crist, Charmander, raven
Adam Krajcik DVM, Nidoran, herring
Sergio Schaden, Ekans, donkey
Ms. Thanh Rohan, Parasect, locust
Shalanda Predovic, Shellder, ox
Lynwood Legros, Flareon, ape
Dr. Tyron Fadel, Lapras, yak
Lacy Wiza, Rattata, minnow
Jacquline Beer, Wigglytuff, hyena
Mrs. Dannette Kirlin, Krabby, mule
