Erika Altenwerth, Dugtrio, whale
Mr. Margery Daugherty, Sandshrew, termite
Hildred Carroll, Pikachu, goldfish
Ashlea Friesen, Electrode, deer
Mr. Curt Boyle, Golbat, mink
Kyoko Labadie I, Nidorina, duck
Spencer Harvey, Blastoise, shark
Mrs. Thanh Wehner, Porygon, panda
Josh Predovic Sr., Nidoran, bat
Adria Monahan, Charmeleon, sardine
Randal Welch I, Arbok, ox
Idell Erdman, Charmander, panda
Joeann Gorczany II, Krabby, porpoise
Dave Zieme, Tentacool, badger
Neomi Thiel, Nidorino, gnu
Diego Miller DVM, Metapod, mink
Von Jerde, Vileplume, wolf
Garth Flatley, Porygon, crocodile
Terrell Weber MD, Primeape, gnat
Deena Glover II, Bellsprout, mallard
Jere Okuneva Sr., Metapod, hyena
Lindsey Jenkins, Hitmonlee, leopard
Denisse Bode, Seel, mule
Lindsay Harris, Krabby, turtle 
Eric Parisian Sr., Graveler, zebra
Dr. Margot Labadie, Bellsprout, locust
Abel West, Gyarados, crow
Clemmie Deckow Jr., Ekans, shark
Rick Runte, Squirtle, tortoise
Shona King, Persian, toad
Zena Bruen, Grimer, leopard
Noriko Muller, Dratini, hornet
Keira Greenholt, Pidgeotto, mosquito
Selina Zboncak PhD, Blastoise, moose
Jacquetta Dach, Rhyhorn, yellowjacket
Saundra Metz, Kangaskhan, moose
Gaston Paucek, Rhyhorn, hornet
Mr. Letitia Boehm, Golem, weasel
Tempie Robel, Meowth, camel
Sudie Morissette MD, Cubone, porcupine
Jin Sawayn, Venomoth, bee
Tyrell Zemlak, Dratini, weasel
Gustavo White, Snorlax, raven
Morris Ortiz IV, Wartortle, sardine
Arthur Champlin, Tauros, ox
Laverne Schamberger, Ponyta, camel
Robt Howell, Omanyte, muskrat
Zachariah Weissnat, Magneton, caribou
Mohammad McLaughlin Sr., Raticate, skunk
Truman Lueilwitz, Seel, jackal
