Antwan Hickle, Gastly, cod
Kenneth Schowalter, Farfetch'd, cricket
Laurinda Wisoky, Krabby, gnat
Paulette Crona, Mewtwo, worm
Kris Hauck I, Haunter, bat
Leota Tromp II, Ivysaur, hound
Alishia Hand, Victreebel, cheetah
Zetta Bruen, Psyduck, prairie dog
Cary Rau, Seadra, wombat
Lavern Denesik, Magneton, trout
Alexandria Kuphal, Vaporeon, prairie dog
Doris Brakus, Growlithe, duck
Arielle Kilback, Jolteon, sheep
Stephania Grant DVM, Aerodactyl, snake
Miss Gayle Hansen, Gyarados, ant
Laurie Lehner, Bellsprout, antelope
Bula Rosenbaum IV, Nidorina, frog
Tory Swift, Rhyhorn, hamster
Lloyd Dooley, Farfetch'd, panda
Quincy Wolf, Kakuna, turtle 
Miss Parker Ortiz, Abra, crab
Donovan Watsica, Beedrill, monkey
Dan Kertzmann, Weepinbell, fly
Tamiko Heaney IV, Haunter, louse
Lissa Waelchi, Chansey, pig
Clifton Smitham, Zapdos, elephant
Ms. Helga Harvey, Nidoqueen, frog
Lisbeth Krajcik, Lapras, mouse
Mr. Hwa Herzog, Kabuto, prairie dog
Britteny Wisozk Sr., Cloyster, zebra
Mr. Carlos Ortiz, Mr. Mime, cod
Marlin Grimes, Magmar, bee
Keven Casper, Charmander, hamster
Gabriel Stamm, Bellsprout, kangaroo
Ladonna Becker, Raticate, marten
Florencia Murazik, Beedrill, llama
Joesph Simonis, Electabuzz, mouse
Ms. Augustine Prosacco, Rattata, llama
Ronni Robel, Weepinbell, gnat
Millie DuBuque, Ekans, sea lion
Clemente Durgan, Magneton, squirrel
Javier Kuphal, Seaking, goldfish
Mr. Dexter Bergnaum, Golduck, eagle
Hai Boyer, Sandslash, wallaby
Kermit King III, Tentacool, skunk
Berry Kihn, Dodrio, buffalo
Jacque Altenwerth, Caterpie, guinea pig
Delmar Hudson, Exeggcute, spider
Janee Bahringer, Golem, snake
Yoshiko O'Keefe III, Nidorina, pug
