Brendan Haley, Clefable, rabbit
Matt Runolfsdottir MD, Rattata, skunk
Evelyne McGlynn, Magikarp, minnow
Deja Kessler, Nidoran, worm
Marcie Satterfield, Venusaur, buffalo
Jed Kris, Zubat, chimpanzee
Winnie Rippin, Goldeen, jackal
Cyrus Aufderhar, Paras, spider
Dewitt Fritsch, Zubat, badger
Alejandra Gislason, Gengar, badger
Leroy Schmeler, Golduck, frog
Mrs. Ali Hirthe, Charmeleon, beaver
Felton Russel, Farfetch'd, walrus
Clayton Kiehn, Machop, cat
Wynell Gleason, Pikachu, reindeer
Joshua Walter, Poliwhirl, horse
Dr. Sung Smitham, Persian, llama
Dr. Janise Wintheiser, Omastar, duck
Romana Nitzsche, Eevee, gorilla
Marline Lueilwitz, Staryu, mosquito
Deon Legros, Tauros, cattle
Doris Murazik, Vaporeon, ant
Phillip Hand, Magmar, mink
Pasquale Thiel, Weezing, whale
Lacy Hagenes, Ditto, reindeer
Mr. Kristofer Reichert, Tentacruel, donkey
Freddy Stehr, Gengar, sea lion
Dennis Towne III, Poliwag, spider
Valentin Jacobs, Bellsprout, turtle 
Bernice Goodwin DVM, Electrode, manatee
Mr. Luke Crona, Nidoking, shark
Mr. Bart Gerlach, Bellsprout, gorilla
Nona Heller, Wartortle, eagle
Mr. Eleni Blick, Clefairy, salmon
Dorsey Mitchell, Caterpie, jackal
Miss Agueda Rolfson, Zubat, muskrat
Britany Hansen IV, Persian, crocodile
Timmy Fisher, Mr. Mime, baboon
Ariel Ebert, Kingler, reindeer
Maureen Runolfsdottir, Charizard, wombat
Dewayne Olson, Rapidash, rhinoceros
King Pouros, Magnemite, raven
Jack Heaney, Jigglypuff, worm
Dylan Schamberger, Raticate, panda
Cleta Gleichner, Mankey, cheetah
Detra Blick, Machoke, serval
Monica Fahey, Omastar, porpoise
Stan Ward, Nidoran, armadillo
Nathanial Kris, Goldeen, cattle
Aldo Mitchell, Clefairy, giraffe
