Dagny Graham, Venusaur, eel
Walker Walter III, Dodrio, beaver
Meghan Gibson II, Seel, hippopotamus
Mrs. Isaias Witting, Nidorino, hare
Jamar Buckridge, Dodrio, gorilla
Pearl Kemmer, Golem, hamster
Rory Bruen, Grimer, ape
Valentina Anderson, Grimer, seal
Debbi Labadie, Wigglytuff, walrus
Delaine Bartell I, Magnemite, elephant
Mr. Darwin Dickinson, Gloom, mosquito
Chase Barton, Nidorino, dog
Dorcas Parker, Tauros, whale
Mr. Jacob West, Spearow, badger
Mr. Deon Bauch, Alakazam, ant
Thomas Kuhlman, Jigglypuff, weasel
Mrs. Avelina Cole, Grimer, hound
Keith Baumbach DDS, Drowzee, elephant
Bok Maggio PhD, Oddish, frog
Doyle Abernathy, Jynx, scorpion
Mariko Hagenes, Porygon, grasshopper
Elvin Runte, Charizard, cod
Clark Little, Charizard, trout
Lexie Skiles, Vaporeon, gorilla
Ms. Shin Bruen, Chansey, ferret
Bobbie Bayer, Pidgeotto, crow
Bobbie Miller, Gengar, hare
Reuben Crooks, Dewgong, dog
Ruben Predovic, Clefairy, wombat
Willis Becker, Tentacruel, caribou
Horace Beer, Rattata, jellyfish
Adeline Roberts, Pidgey, donkey
Ms. Tobias Koelpin, Spearow, otter
Mr. Lyndsey Douglas, Clefairy, goose
Mrs. Su Gleichner, Nidoking, shark
Sandy Hettinger, Mew, panda
Ms. Shalonda Wiza, Golduck, hedgehog
Dania Harris, Dragonite, wolf
Junita Gleason, Krabby, rat
Wilson Thompson DDS, Voltorb, guinea pig
Stacy O'Connell, Machoke, jellyfish
Leeann Padberg, Vulpix, sheep
Carmina Hartmann, Ponyta, lizard
Brendon Miller, Hypno, porpoise
Cherly Mraz, Goldeen, skunk
Carlo Kirlin, Pinsir, fox
Domitila Yundt, Goldeen, monkey
Mrs. Leora Schoen, Krabby, gerbil
Mariam Klein, Drowzee, panda
Arlena Raynor, Onix, elephant
