Johnny Swift, Metapod, eel
Prince Cruickshank PhD, Porygon, cockroach
Renato Carter, Slowbro, leopard
Dr. Daniel Monahan, Flareon, squirrel
Corrine O'Kon, Hypno, koala
Rex Davis, Snorlax, snail
Miss Oda Rodriguez, Kakuna, jackal
Dr. Doug Mueller, Raichu, hippopotamus
Grant Kassulke, Tentacool, sheep
Eloise Fritsch, Electrode, gorilla
Maryanna Hilpert, Bulbasaur, jackal
Jarred Altenwerth, Staryu, trout
Tad Bins, Eevee, bee
Sally Gislason, Starmie, llama
Dr. Dario Mraz, Jolteon, goose
Ms. Jeremy Kilback, Tentacruel, yak
Cassidy Cruickshank IV, Krabby, armadillo
Mira Rolfson, Metapod, donkey
Jon Sauer, Gastly, jackal
Trinity Langosh, Lickitung, mammoth
Jaleesa Sipes, Raticate, elephant
Dexter Daniel, Psyduck, dolphin
Hai Rogahn, Flareon, cheetah
Juliana Goldner, Geodude, deer
Demarcus Hessel Sr., Seel, crocodile
Jean Goyette, Slowbro, scorpion
Karan Hyatt, Victreebel, gnu
Angela Ruecker, Staryu, spider
Adele Schaden, Raichu, deer
Joni Ullrich, Exeggcute, crab
Tad Hirthe III, Persian, grasshopper
Bobby Tromp MD, Staryu, seal
Miss Eleanora Welch, Oddish, tiger
Enriqueta Douglas, Tentacool, rhinoceros
Kevin McGlynn, Omanyte, mammoth
Naomi Botsford, Bellsprout, cricket
Tiera Legros, Hitmonlee, wildebeest
Mrs. Rich Glover, Omastar, chimpanzee
Evelyn Hegmann, Kangaskhan, clam
Tasia Kunde Sr., Growlithe, yellowjacket
Launa Stamm, Onix, chinchilla
Monica Dicki, Sandslash, water buffalo
Gordon Wunsch, Zapdos, mule
Stewart Greenfelder, Gastly, hamster
Gaylene Armstrong, Poliwhirl, camel
Idalia Tremblay, Dugtrio, chimpanzee
Hai Bartoletti, Eevee, ferret
Lon Kirlin, Flareon, ferret
Ramon Ratke, Nidoqueen, porcupine
Allyson Bechtelar, Primeape, platypus
