Lucia Romaguera PhD, Raichu, mink
Edgar Hermiston, Pidgeot, tortoise
Fermin Lesch, Pidgeotto, cod
Cinthia Rosenbaum, Staryu, giraffe
Tiara Reilly, Clefairy, tiger
Elwood Parker, Horsea, caribou
Maryanne Labadie, Ninetales, chinchilla
Dr. Tai Carter, Ponyta, baboon
Verlie Schowalter, Golduck, antelope
Roxane Runolfsson V, Gyarados, rabbit
Olen Greenholt, Ditto, mosquito
Monty Quigley, Wigglytuff, donkey
Matthew Howell, Ponyta, bear
Jeromy Parisian, Arbok, gorilla
Dr. Bethann Stiedemann, Psyduck, salmon
Yetta Beer, Raticate, tiger
Jesica Douglas, Machoke, wolf
Carley Langosh, Weepinbell, dolphin
Dr. Stacie Abbott, Seaking, cicada
Wesley Osinski, Nidorino, gorilla
Val Beer, Squirtle, rhinoceros
Toby Von, Kabutops, louse
Carlie Cummings, Slowpoke, buffalo
Alan Schowalter, Venomoth, cod
Chauncey Schiller, Diglett, bat
Rebecca Ruecker MD, Jigglypuff, gorilla
Sindy Prosacco, Arcanine, buffalo
Jeane Hansen, Persian, worm
Spencer Willms, Psyduck, worm
Damaris Cole, Cloyster, alligator
Pat Morissette, Arbok, water buffalo
Katina Conroy, Raichu, toad
Eduardo VonRueden Sr., Venonat, porpoise
Mohammed Ratke, Tentacruel, gnat
Isreal Ernser, Arbok, herring
Luciana Konopelski DVM, Oddish, skunk
Graig Collins, Rhyhorn, hedgehog
Mrs. Nelly Emmerich, Geodude, wasp
Ms. Allen Swift, Farfetch'd, raven
Mammie Lynch, Charmander, duck
Mr. Melita Tromp, Magmar, elk
Clayton Shields, Clefairy, hippopotamus
Janna Zieme Sr., Farfetch'd, weasel
Ezekiel Volkman, Nidorino, porcupine
Zachariah Spinka, Kabuto, moose
Pablo Oberbrunner, Machoke, koala
Blair Schumm, Charmeleon, cattle
Erminia Breitenberg, Ninetales, reindeer
Owen Lebsack, Wartortle, gnat
Miss Angila Farrell, Victreebel, camel
