Ms. Warner Rempel, Pinsir, beetle
Clifford Bartell IV, Venonat, koala
Miss Lelah Champlin, Farfetch'd, llama
Oralee Romaguera, Mr. Mime, hippopotamus
Florine Predovic, Diglett, beetle
Miss Ardith Quitzon, Kakuna, koala
Emory Howe, Onix, mink
Mr. Rebbecca Durgan, Clefairy, muskrat
Phuong Spinka, Seaking, snake
Keith Gibson, Hitmonchan, gorilla
Micha Moen V, Magikarp, grasshopper
Lanell Rice I, Rhyhorn, turtle 
Dr. Rocky Crooks, Clefable, weasel
Jackie Runte, Metapod, mouse
Hipolito Turner, Flareon, cockroach
Wilton Schroeder, Nidoqueen, chinchilla
Bernardo Bradtke, Kingler, zebra
Numbers Pollich, Nidoqueen, yellowjacket
Herta Daugherty, Kabutops, cheetah
Wilmer Oberbrunner, Poliwrath, wasp
Ignacio Shields, Paras, muskrat
Mose Gislason, Jolteon, spider
Efren Moore II, Scyther, ox
Rod Friesen, Haunter, giraffe
Tenesha Walsh IV, Hitmonchan, turtle 
Sigrid Cummerata, Wartortle, guinea pig
Katlyn Corwin PhD, Metapod, zebra
Retta Harris, Arbok, leopard
Latonya Sipes Sr., Zapdos, wildebeest
Rosendo Kuphal, Ditto, crow
Ofelia Stracke, Jolteon, koala
Lorenzo Zieme, Charmander, monkey
Mr. Dwain Lubowitz, Pidgey, eel
Lavette Kemmer, Dodrio, rhinoceros
Dr. Lloyd Sawayn, Golem, gnat
Minh Hansen II, Gloom, crocodile
Fumiko Nicolas, Goldeen, monkey
Dr. Hank Kshlerin, Bellsprout, goose
Wyatt Boyer, Jynx, rat
Eldon Hand, Hypno, muskrat
Delbert Rempel, Kangaskhan, whale
Patrica Bailey, Poliwrath, crow
Bridgett Baumbach DVM, Venusaur, mallard
Darius Harris, Muk, macaw
Dr. Vernon McKenzie, Kabuto, antelope
Dr. Lashaun Rodriguez, Jynx, wolf
Len Runolfsson, Bulbasaur, louse
Manuel O'Conner, Parasect, jellyfish
Nannette Rau, Dodrio, salmon
Nelly Kunze, Ponyta, leopard
