Dr. Lessie Schoen, Diglett, oyster
Marcus Treutel, Venusaur, leopard
Dr. Deshawn Zboncak, Grimer, pig
Carolann Graham, Dugtrio, hyena
Mrs. Ashlyn Luettgen, Nidoqueen, mammoth
Chang Lynch Jr., Machoke, hamster
Coleman Marquardt, Nidorina, crow
Brad Hegmann II, Rapidash, dolphin
Jose Wolf DVM, Gloom, toad
Matt Heathcote, Tauros, termite
Frederic Rath, Caterpie, antelope
Mrs. Kurt Hagenes, Beedrill, alpaca
Marco Graham, Alakazam, alligator
Shon Bayer Jr., Psyduck, ox
Pinkie West, Mewtwo, snake
Rosaria Durgan, Dewgong, wallaby
Ms. Lea Bosco, Clefable, rabbit
Kimberely Stiedemann, Cloyster, worm
Miss Michal Sawayn, Squirtle, sea lion
Lonnie Considine, Metapod, yellowjacket
Jolie McKenzie, Metapod, grasshopper
Gil Ledner, Rattata, guinea pig
Carmine Pagac, Onix, manatee
Exie Bechtelar, Nidorino, cod
Mrs. Alfonso Kling, Kakuna, ox
Vance Quitzon, Metapod, locust
Georgetta Corwin DDS, Electabuzz, mole
Ulysses Reichert, Dragonite, hound
Leif Donnelly, Mr. Mime, tortoise
Ms. Ona Nikolaus, Caterpie, cod
Alex Turcotte Sr., Cubone, chimpanzee
Celsa Daniel, Oddish, minnow
Dr. Victor Breitenberg, Chansey, hamster
Catheryn Schneider, Geodude, mole
Melynda Klocko, Grimer, frog
Clair Gleichner, Rhydon, ape
Noriko Friesen, Lickitung, yellowjacket
Dr. Harriet Raynor, Dodrio, crow
Denny Hickle, Omanyte, louse
Rosella Schmidt, Caterpie, lion
Mazie Predovic, Cubone, zebra
Ms. Bennie Wolff, Mankey, hornet
Siu Hauck, Goldeen, toad
Hobert Ritchie, Grimer, gerbil
Benedict Bartell DDS, Dodrio, chimpanzee
Arnita Strosin, Magmar, lizard
Mrs. Cecil Collier, Nidoqueen, pug
Edmond Runolfsdottir, Marowak, mammoth
Nigel Kulas, Rhydon, deer
Liberty Steuber, Koffing, dinosaur
