Johnna Hand, Geodude, muskrat
Fransisca McKenzie, Venomoth, hound
Mrs. Dustin Mills, Onix, ant
Alton DuBuque, Paras, clam
Irving Little, Arbok, mouse
Wilburn Willms MD, Electabuzz, worm
Marcelino Feest V, Krabby, trout
Enoch Connelly, Seel, goat
Ms. Rusty Auer, Voltorb, badger
Miss Cesar Lind, Clefable, wasp
Jeannette Gleichner V, Tentacool, wallaby
Reyes Bins II, Machop, mink
Marin Windler, Parasect, chinchilla
Joy Zemlak, Mankey, mallard
Mrs. Damien Lehner, Seel, llama
Ted Russel, Dragonite, baboon
Mrs. Latoyia Goodwin, Nidorina, macaw
Zina McCullough, Hitmonlee, squirrel
Stephan Wolf, Wigglytuff, dinosaur
Charita Torphy, Mewtwo, walrus
Eliseo Mills, Venusaur, cockroach
Denna Stroman, Mr. Mime, crab
Linette Bradtke, Jynx, yak
Mrs. Mary Hirthe, Wigglytuff, cicada
Eun Parker PhD, Nidoking, mink
Tod Franecki, Slowpoke, duck
Mr. Carrol Thiel, Gengar, water buffalo
Estrella Armstrong DVM, Mew, bear
Geneva Morissette, Clefable, moose
Mrs. Madelaine Lesch, Abra, clam
Bryan Kuhn, Mankey, alligator
Jacquetta Turner, Omanyte, hare
Kenny Yost, Geodude, toad
Bell Effertz, Machamp, raccoon
Ms. Stacia Heller, Goldeen, chimpanzee
Trista Heathcote Jr., Dragonite, tiger
Nelda Ortiz IV, Golem, pig
Byron Connelly, Sandslash, gnu
Dr. Hee Medhurst, Haunter, monkey
Felton Schaefer, Marowak, guinea pig
Jack Jakubowski, Metapod, squirrel
Annis Huel, Mankey, oyster
Jeff Daniel, Hitmonlee, hornet
Dewayne Feil, Kabuto, ape
Moses Marquardt I, Venomoth, tiger
Mr. Lee Zulauf, Koffing, moose
Dusty Watsica, Golbat, bee
Ricki Shanahan, Marowak, water buffalo
Carly Hermiston, Kadabra, lion
Ulysses Kozey, Wigglytuff, beaver
