Dr. Trevor Ziemann, Jigglypuff, jackal
Cristal Kohler, Weepinbell, wolf
Clayton Miller, Dratini, manatee
Magdalene Streich, Horsea, ox
Noemi Jones, Arbok, wombat
Beverley Armstrong, Marowak, cheetah
Tyron Dooley, Golbat, mosquito
Isobel Ullrich, Jolteon, monkey
Noma Tremblay, Rapidash, bear
Griselda Ullrich, Grimer, manatee
Duncan Carter, Venonat, sheep
Ms. Bryanna Bartell, Ditto, clam
Derek Koepp, Clefable, yak
Kenton Murazik III, Diglett, clam
Dr. Stephan Stark, Raichu, eel
Jermaine Doyle, Rhydon, porcupine
Ellis Sipes, Rhyhorn, fly
Elvin Lindgren, Kakuna, herring
Classie Flatley, Kakuna, worm
Tyree Zieme, Psyduck, mouse
Kirstin Rogahn Jr., Ditto, bat
Saran Graham IV, Tentacruel, lizard
Emerson Koss Jr., Electabuzz, muskrat
Landon Bruen, Voltorb, dinosaur
Kristian Robel, Seadra, salmon
Forrest Sawayn, Charmeleon, shark
Byron Luettgen, Haunter, wallaby
Lavina Nienow, Meowth, serval
Vicki Metz III, Rapidash, hound
Jared Deckow Sr., Goldeen, walrus
Marielle Morar II, Abra, hippopotamus
Sal Jacobs, Oddish, trout
Sang Hodkiewicz, Gyarados, dinosaur
Shannan Zulauf, Chansey, wombat
Sherwood Effertz, Exeggcute, platypus
Stuart Krajcik, Exeggcute, eagle
Shelby Rippin, Horsea, dog
Keenan Cremin, Lapras, salmon
Joni Effertz, Ditto, baboon
Enedina Kessler, Dragonite, ferret
Issac Smitham Sr., Shellder, ox
Miss Tara McKenzie, Jolteon, cattle
Rudolph Bode, Clefairy, swan
Art Howell Sr., Spearow, salmon
Leola Hartmann, Mr. Mime, clam
Eva O'Connell DDS, Vulpix, muskrat
Ms. Newton Kozey, Dewgong, baboon
Morris Trantow, Beedrill, donkey
Jospeh Monahan, Kakuna, kangaroo
Dr. Meri Hane, Pidgeotto, platypus
