Adriana Goyette, Gyarados, lizard
Brittni Murazik MD, Articuno, louse
Margarete Borer, Dodrio, cicada
Li Ryan, Arbok, trout
Howard Nader, Pikachu, mouse
Aubrey Deckow, Bulbasaur, jackal
Therese Keeling, Kakuna, prairie dog
Rudy Hayes DDS, Hitmonchan, whale
Porfirio Stark, Venomoth, snail
Dr. Bart Olson, Golbat, grasshopper
Warren Bednar, Dratini, worm
Agustina Prosacco, Vulpix, hippopotamus
Kirby Vandervort DDS, Jolteon, yellowjacket
Ethel Kuhlman, Snorlax, caribou
Mariko Conroy MD, Aerodactyl, marten
Meggan Barrows, Rapidash, minnow
Narcisa McLaughlin, Hitmonchan, rabbit
Haywood Jacobi, Moltres, ox
Damon Cummerata, Mewtwo, prairie dog
Joesph Rempel II, Slowbro, hamster
Leeanna Kulas, Tentacruel, frog
Darrel Lindgren, Tentacruel, bat
Ms. Courtney Hahn, Weedle, lion
Elfriede Kulas I, Growlithe, reindeer
Ludie Lockman DDS, Hypno, gerbil
Cleveland O'Reilly DDS, Eevee, camel
Rosena Hermiston, Ditto, herring
Hoyt Koelpin, Moltres, weasel
Doyle Upton II, Alakazam, jackal
Ian Harris, Ponyta, whale
Donetta Reynolds, Jolteon, tortoise
Mary Schaden, Ninetales, prairie dog
Sherrill Halvorson, Magnemite, hyena
Marquis Kuhn, Shellder, frog
Camille Hodkiewicz, Arbok, jellyfish
Verdie McClure Jr., Weezing, rabbit
Mrs. Lynnette Koch, Onix, porpoise
Detra West, Porygon, llama
Eboni Bashirian, Tangela, clam
Melina Zieme, Charizard, bear
Angelia Bernhard IV, Lickitung, koala
Ronnie Schmitt, Arcanine, mink
Glenn Schaden DVM, Machoke, duck
Nereida Wilderman PhD, Arcanine, lion
Nichole Hauck, Vulpix, hare
Carline Kertzmann Jr., Dugtrio, mallard
Jim Medhurst, Haunter, rhinoceros
Sherice Mraz, Porygon, chimpanzee
Elinore Brakus, Pikachu, chimpanzee
Dallas Will, Exeggcute, termite
