Filiberto Cummings, Nidoqueen, mouse
Ruthann Toy, Raichu, snail
Dr. Harvey Johns, Omanyte, macaw
Hollis Balistreri, Exeggutor, crocodile
Lorenzo Fadel, Jigglypuff, sardine
Larae Champlin, Seaking, toad
Dorian Herman, Pidgeot, jackal
Marnie Dooley, Farfetch'd, chinchilla
Clay Stehr, Mankey, moose
Quinton Davis IV, Golem, fly
Hilario Kuhic, Rattata, mosquito
Marta Weimann, Ditto, camel
Larae Schaden, Kabutops, spider
Caroll Casper, Electabuzz, rabbit
Gwyneth Friesen PhD, Slowpoke, yellowjacket
Casey Kovacek, Tentacool, cattle
Nikita Bergstrom, Arcanine, mule
Elijah Bode PhD, Drowzee, serval
Allan McGlynn, Aerodactyl, tortoise
Rema Morar IV, Clefable, mallard
Christopher Barton, Zapdos, moose
Shellie Douglas, Vaporeon, jackal
Jeremiah Rippin, Charmander, fox
Demarcus Johns, Flareon, otter
Luetta Gleason, Tentacool, cockroach
Mrs. Greg Hilpert, Kingler, alligator
Burt Mills, Tentacruel, eagle
Mrs. Norine Stoltenberg, Rattata, fish
Dawna Skiles V, Goldeen, hamster
Kim Gulgowski, Shellder, gnu
Gabrielle Thiel, Tentacool, elk
Ira Smith, Rattata, mink
Julius Herzog, Persian, chinchilla
Miss Jamaal Greenholt, Farfetch'd, scorpion
Mark Nader, Ivysaur, donkey
Dr. Shari Hartmann, Spearow, gorilla
Mr. Bennett Hoeger, Oddish, sardine
Nan MacGyver, Staryu, jellyfish
Barton Zboncak, Rhyhorn, badger
Mr. Kelsey Crist, Weepinbell, squirrel
Antoine Kilback, Omanyte, dog
Deangelo Anderson, Magmar, camel
Assunta Yundt, Clefable, cockroach
Christian O'Keefe, Charmander, crocodile
Trey Schinner, Nidoran, impala
Elina Welch DVM, Jolteon, trout
Daphine Brown I, Parasect, antelope
Victoria Senger, Kangaskhan, scorpion
Chuck Mraz, Flareon, seal
Mr. Adrien Donnelly, Meowth, fish
