Doria Flatley, Flareon, monkey
Dennis Macejkovic, Mewtwo, panda
Ms. Johana Wisoky, Hitmonchan, mole
Rolando Parker, Bellsprout, scorpion
Sharlene Nitzsche, Tangela, fly
Ingrid Blick, Paras, fox
Lorrine Paucek DDS, Nidoran, cicada
Reginald Konopelski V, Ninetales, rabbit
Ms. Florentino Waelchi, Oddish, termite
Ka Harris IV, Charmeleon, termite
Kurt Stamm, Voltorb, chimpanzee
Dr. Romelia Klocko, Slowpoke, monkey
Adam Romaguera, Ponyta, raccoon
Pearl Pacocha, Horsea, wombat
Raymonde Lakin V, Kingler, gnu
Tona Fahey, Gengar, herring
Jamar Bode, Shellder, crab
Guy O'Kon V, Weepinbell, salmon
Sergio Wuckert, Nidoran, impala
Evelia Cassin V, Exeggutor, ferret
Dorsey Gibson, Zubat, ox
Kelly Kerluke, Magmar, baboon
Jocelyn Pfeffer MD, Gyarados, macaw
Ms. Alison Bogan, Charmeleon, beetle
Berna Kutch, Vileplume, seal
Lyle Maggio, Fearow, coyote
Rusty Medhurst, Tauros, cricket
Daria Lynch PhD, Metapod, fly
Sumiko Harris, Ninetales, cricket
Graig Koepp, Voltorb, hare
Gertie Goldner, Ditto, mosquito
Nohemi Osinski, Moltres, minnow
Venita Thompson Jr., Charmander, wildebeest
Rueben Dickinson, Goldeen, elephant
Will Metz, Machamp, macaw
Mr. Becki Runolfsson, Ekans, wolf
Miss Carolin Corkery, Kadabra, shark
Dr. Jeanetta Kirlin, Venomoth, deer
Amos Kling, Tentacruel, yak
Eugene Cruickshank MD, Fearow, lizard
Jared Schultz, Aerodactyl, fox
Luke Beahan, Zubat, mosquito
Mindy Schuppe, Venusaur, moose
Shakira Kessler, Rapidash, cod
Paulene Sporer, Poliwag, crocodile
Laurence O'Connell V, Venusaur, prairie dog
Jan Volkman, Farfetch'd, pug
Miss Eldridge Kautzer, Diglett, mammoth
Mrs. Marvella MacGyver, Machoke, mallard
Sergio Wiegand, Tentacool, marten
